special_ability_groups	unit_special_abilities
#special_ability_groups_to_unit_abilities_junctions_tables;1;db/special_ability_groups_to_unit_abilities_junctions_tables/rhox_grudgebringer	
rhox_grudge_stormbringer	wh3_main_spell_ice_crystal_sanctuary
rhox_grudge_stormbringer	wh3_main_spell_ice_death_frost
rhox_grudge_stormbringer	wh3_main_lore_passive_frost_shield
rhox_grudge_stormbringer	wh3_main_lore_passive_freezing_winds
rhox_grudge_stormbringer	wh3_main_spell_tempest_biting_wind
rhox_grudge_stormbringer	wh3_main_spell_tempest_hailstorm
rhox_grudge_stormbringer	wh3_main_spell_tempest_gust_of_true_flight
rhox_grudge_stormbringer	wh3_main_spell_tempest_blizzard
rhox_grudge_stormbringer	wh3_main_spell_ice_ice_sheet
