quote	unit
#loading_screen_quotes_to_units_tables;0;db/loading_screen_quotes_to_units_tables/ovn_albion_only	
ovn_alb_duraldurak_loading	bl_elo_dural_durak
ovn_alb_duraldurak_loading	bl_elo_dural_durak_chariot
ovn_alb_duraldurak_loading	bl_elo_dural_durak_horse
ovn_alb_mhorrinion_loading	albion_morrigan
ovn_alb_mhorrinion_loading	albion_morrigan_bird
ovn_alb_centaur_loading	albion_centaurs
ovn_alb_centaur_loading	albion_centaur_hunter_ror
ovn_alb_chariot_loading	albion_chariot
ovn_game_hint_lore_of_truthsayers_unit	albion_truthsayer_truth
ovn_game_hint_lore_of_truthsayers_unit	albion_truthsayer_truth_horse
ovn_game_hint_lore_of_truthsayers_unit	albion_wyrd_druid
ovn_game_hint_lore_of_truthsayers_unit	albion_wyrd_druid_horse
