ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/ovn_araby_only	
arb_jaffar_aura_will	ovn_arb_cha_sultan_jaffar_0
arb_jaffar_to_djinn_transformation	ovn_arb_cha_sultan_jaffar_0
wh3_main_unit_passive_single_entity	ovn_arb_cha_sultan_jaffar_0
wh_main_character_abilities_arcane_conduit	ovn_arb_cha_sultan_jaffar_0
wh_main_character_passive_evasion	ovn_arb_cha_sultan_jaffar_0
arb_jaffar_aura_will	ovn_arb_cha_sultan_jaffar_djinn
arb_djinn_to_jaffar_transformation	ovn_arb_cha_sultan_jaffar_djinn
wh3_main_unit_passive_single_entity	ovn_arb_cha_sultan_jaffar_djinn
wh_main_character_abilities_arcane_conduit	ovn_arb_cha_sultan_jaffar_djinn
ovn_passive_jaffar_djinn_casting_drain	ovn_arb_cha_sultan_jaffar_djinn
ovn_arb_unit_passive_djinn_instability	ovn_arb_cha_sultan_jaffar_djinn
ovn_arb_unit_passive_djinn_instability_ii	ovn_arb_cha_sultan_jaffar_djinn
arb_fatandira_aimed_shot	ovn_arb_cha_fatandira_0
wh_main_character_abilities_deadly_onslaught	ovn_arb_cha_fatandira_0
wh_main_character_abilities_foe_seeker	ovn_arb_cha_fatandira_0
arb_fatandira_desert_feint	ovn_arb_cha_fatandira_0
wh_main_character_abilities_stand_your_ground	ovn_arb_cha_fatandira_0
wh3_main_unit_passive_single_entity	ovn_arb_cha_fatandira_0
arb_fatandira_aimed_shot	ovn_arb_cha_fatandira_1
wh_main_character_abilities_deadly_onslaught	ovn_arb_cha_fatandira_1
wh_main_character_abilities_foe_seeker	ovn_arb_cha_fatandira_1
arb_fatandira_desert_feint	ovn_arb_cha_fatandira_1
wh_main_character_abilities_stand_your_ground	ovn_arb_cha_fatandira_1
wh3_main_unit_passive_single_entity	ovn_arb_cha_fatandira_1
arb_fatandira_aimed_shot	ovn_arb_cha_fatandira_2
wh_main_character_abilities_deadly_onslaught	ovn_arb_cha_fatandira_2
wh_main_character_abilities_foe_seeker	ovn_arb_cha_fatandira_2
arb_fatandira_desert_feint	ovn_arb_cha_fatandira_2
wh_main_character_abilities_stand_your_ground	ovn_arb_cha_fatandira_2
wh3_main_unit_passive_single_entity	ovn_arb_cha_fatandira_2
wh_main_character_abilities_arcane_conduit	ovn_arb_cha_golden_magus_0
arb_golden_magus_master_djinn	ovn_arb_cha_golden_magus_0
arb_golden_magus_wrath_djinn_passive	ovn_arb_cha_golden_magus_0
wh3_main_unit_passive_single_entity	ovn_arb_cha_golden_magus_0
wh_main_character_abilities_arcane_conduit	ovn_arb_cha_golden_magus_1
arb_golden_magus_master_djinn	ovn_arb_cha_golden_magus_1
arb_golden_magus_wrath_djinn_passive	ovn_arb_cha_golden_magus_1
wh3_main_unit_passive_single_entity	ovn_arb_cha_golden_magus_1
ovn_arb_passive_camel	ovn_arb_cha_golden_magus_1
ovn_unit_abilities_air_skiff_broadside_right	ovn_arb_cha_golden_magus_2
ovn_unit_abilities_air_skiff_broadside_left	ovn_arb_cha_golden_magus_2
wh_main_character_abilities_arcane_conduit	ovn_arb_cha_golden_magus_2
arb_golden_magus_master_djinn	ovn_arb_cha_golden_magus_2
arb_golden_magus_wrath_djinn_passive	ovn_arb_cha_golden_magus_2
wh3_main_unit_passive_single_entity	ovn_arb_cha_golden_magus_2
wh_main_character_abilities_deadly_onslaught	ovn_arb_cha_sheikh_0
