level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	only_in_capital	faction_unique	first_in_world_bundle	can_convert	building_instance_key	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	can_be_damaged	primary_slot_building_building_level_requirement	audio_building_type	visible_in_ui	food_cost	slave_cap_contribution	resource_cost	additional_loot_value
#building_levels_tables;0;db/building_levels_tables/ovn_grudge																						
wh_main_emp_cha_grudge_recruit_1	wh_main_emp_cha_grudge_recruit	0	1	500	0		false	false		true	wh_main_emp_cha_grudge_recruit	false	0.0000	0	true	0		true	0	0		0
wh_main_emp_cha_grudge_recruit_2	wh_main_emp_cha_grudge_recruit	1	1	1000	0		false	false		true	wh_main_emp_cha_grudge_recruit	false	0.0000	1	true	1		true	0	0		0
wh_main_emp_cha_grudge_recruit_3	wh_main_emp_cha_grudge_recruit	2	2	2000	0		false	false		true	wh_main_emp_cha_grudge_recruit	false	0.0000	2	true	2		true	0	0		0
wh_main_emp_cha_grudge_recruit_4	wh_main_emp_cha_grudge_recruit	3	3	3000	0		false	false		true	wh_main_emp_cha_grudge_recruit	false	0.0000	3	true	3		true	0	0		0
wh_main_emp_cha_grudge_wizard_1	wh_main_emp_cha_grudge_wizard	0	1	2000	0		false	false		true	wh_main_emp_cha_grudge_wizard	false	0.0000	2	true	3		true	0	0		0
wh_main_emp_cha_grudge_wizard_2	wh_main_emp_cha_grudge_wizard	1	2	4000	0		false	false		true	wh_main_emp_cha_grudge_wizard	false	0.0000	3	true	4		true	0	0		0
wh_main_emp_cha_grudge_worship	wh_main_emp_cha_grudge_worship	0	1	2000	0		false	false		true	wh_main_emp_cha_grudge_worship	false	0.0000	1	true	2		true	0	0		0
wh_main_emp_cha_grudge_growth_1	wh_main_emp_cha_grudge_growth	0	1	500	0		false	false		true	wh_main_emp_cha_grudge_growth	false	0.0000	0	true	0		true	0	0		0
wh_main_emp_cha_grudge_growth_2	wh_main_emp_cha_grudge_growth	1	1	1000	0		false	false		true	wh_main_emp_cha_grudge_growth	false	0.0000	1	true	1		true	0	0		0
wh_main_emp_cha_grudge_growth_3	wh_main_emp_cha_grudge_growth	2	2	2000	0		false	false		true	wh_main_emp_cha_grudge_growth	false	0.0000	2	true	2		true	0	0		0
wh_main_emp_cha_grudge_paymaster	wh_main_emp_cha_grudge_paymaster	0	2	2000	0		false	false		true	wh_main_emp_cha_grudge_paymaster	false	0.0000	1	true	1		true	0	0		0
wh_main_emp_cha_grudge_paymaster_2	wh_main_emp_cha_grudge_paymaster	1	2	3000	0		false	false		true	wh_main_emp_cha_grudge_paymaster	false	0.0000	2	true	2		true	0	0		0
