effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/obo_grudgebringers_data				
grudge_bundle_banner_of_arcane_warding	wh_main_effect_character_stat_magic_resistance	character_to_character_own_banner	70.0000	start_turn_completed
grudge_bundle_banner_of_arcane_warding	wh_main_effect_character_stat_melee_defence	character_to_character_own_banner	25.0000	start_turn_completed
grudge_bundle_banner_of_arcane_warding	grudge_effect_ability_enable_banner_of_arcane_warding	character_to_character_own_banner	1.0000	start_turn_completed
grudge_bundle_banner_of_wrath	grudge_effect_ability_enable_banner_of_wrath	character_to_character_own_banner	1.0000	start_turn_completed
grudge_bundle_banner_of_wrath	wh_main_effect_character_stat_melee_attack	character_to_character_own_banner	15.0000	start_turn_completed
grudge_bundle_banner_of_defiance	wh_main_effect_attribute_enable_unbreakable	character_to_character_own_banner	1.0000	start_turn_completed
grudge_bundle_banner_of_defiance	wh_main_effect_character_stat_melee_defence	character_to_character_own_banner	15.0000	start_turn_completed
grudge_bundle_banner_of_defiance	wh_main_effect_character_stat_armour	character_to_character_own_banner	10.0000	start_turn_completed
ovn_anc_magic_standard_ptolos	wh_main_effect_force_stat_missile_resistance	character_to_character_own_banner	25.0000	start_turn_completed
grudge_transfer_region	wh_main_faction_political_diplomacy_mod_empire	faction_to_faction_own	25.0000	start_turn_completed
grudge_transfer_region	wh_main_effect_force_stat_leadership	faction_to_force_own	5.0000	start_turn_completed
grudge_transfer_region	grudge_supply_dummy	faction_to_faction_own_unseen	1.0000	start_turn_completed
grudge_transfer_region_horde_growth	wh_main_effect_hordebuilding_growth_events_faction	force_to_force_own	8.0000	start_turn_completed
grudge_supply_dummy	grudge_supply_dummy	faction_to_faction_own_unseen	1.0000	start_turn_completed
grudge_retain_dummy	grudge_retain_dummy	faction_to_faction_own_unseen	1.0000	start_turn_completed
grudge_liberate	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own	-25.0000	start_turn_completed
grudge_liberate	wh_main_effect_public_order_faction	faction_to_province_own	4.0000	start_turn_completed
grudge_camp_followers	wh2_main_effect_agent_action_success_chance_enemies_in_region	faction_to_character_own	15.0000	start_turn_completed
grudge_camp_followers	wh_main_effect_force_all_campaign_movement_range	faction_to_force_own	5.0000	start_turn_completed
grudge_replacements	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	20.0000	start_turn_completed
grudge_hire_dummy	grudge_hire_dummy	faction_to_faction_own_unseen	1.0000	start_turn_completed
wh2_main_lord_trait_emp_grudgebringers	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own	35.0000	start_turn_completed
wh2_main_lord_trait_emp_grudgebringers	ovn_grudge_diplo_bonus	faction_to_faction_own_unseen	25.0000	start_turn_completed
wh2_main_lord_trait_emp_grudgebringers	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	-20.0000	start_turn_completed
wh2_main_lord_trait_emp_grudgebringers	wh_main_effect_force_army_campaign_attrition_all_resistance	faction_to_force_own	-10.0000	start_turn_completed
ovn_faction_trait_grudge	ovn_grudge_replenish_dummy	faction_to_faction_own_unseen	1.0000	start_turn_completed
ovn_faction_trait_grudge	wh_main_effect_force_all_campaign_post_battle_loot_mod	faction_to_faction_own_unseen	40.0000	start_turn_completed
ovn_faction_trait_grudge	wh2_dlc17_effect_trespass_immunity_for_army_dummy	faction_to_faction_own_unseen	1.0000	start_turn_completed
ovn_faction_trait_grudge	wh_main_effect_siege_engine_number_emp_siege_tower	faction_to_force_own	2.0000	start_turn_completed
ovn_faction_trait_grudge	wh_main_effect_siege_engine_number_emp_battering_ram	faction_to_force_own	1.0000	start_turn_completed
ovn_faction_trait_grudge	wh2_dlc09_effect_increase_army_capacity_hidden	faction_to_faction_own_unseen	1.0000	start_turn_completed
ovn_faction_trait_grudge	ovn_grudge_horde	faction_to_faction_own_unseen	1.0000	start_turn_completed
