building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables;0;db/building_set_to_building_junctions_tables/ovn_fimir_res			
ovn_fimir_resource_dyes		wh2_main_set_resource	false
ovn_fimir_resource_exotic_animals		wh2_main_set_resource	false
ovn_fimir_resource_furs		wh2_main_set_resource	false
ovn_fimir_resource_gemstones		wh2_main_set_resource	false
ovn_fimir_resource_ivory		wh2_main_set_resource	false
ovn_fimir_resource_pastures		wh2_main_set_resource	false
ovn_fimir_resource_salt		wh2_main_set_resource	false
ovn_fimir_resource_spices		wh2_main_set_resource	false
ovn_fimir_resource_wine		wh2_main_set_resource	false
ovn_fimir_resource_obsidian		wh2_main_set_resource	false
ovn_fimir_resource_marble		wh2_main_set_resource	false
ovn_fimir_resource_timber		wh2_main_set_resource	false
ovn_fimir_resource_gold		wh2_main_set_resource	false
ovn_fimir_resource_iron		wh2_main_set_resource	false
ovn_fimir_resource_pottery		wh2_main_set_resource	false
ovn_fimir_resource_medicine		wh2_main_set_resource	false
