faction	general_unit	unit	siege_unit_attacker	siege_unit_defender	general_portrait	general_uniform	set_piece_character	campaign_exclusive	armory_item_set	supports_upgrades
#units_custom_battle_permissions_tables;11;db/units_custom_battle_permissions_tables/ovn_araby_only										
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_sultan_jaffar_0	true	true	ui/portraits/portholes/no_culture/arb_sultan_jaffar.png	ovn_arb_cha_sultan_jaffar_0	ovn_arb_cha_sultan_jaffar_0	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_fatandira_0	true	true	ui/portraits/portholes/no_culture/arb_fatandira.png	ovn_arb_cha_fatandira_0	ovn_arb_cha_fatandira_0	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_fatandira_1	true	true	ui/portraits/portholes/no_culture/arb_fatandira.png	ovn_arb_cha_fatandira_0	ovn_arb_cha_fatandira_1	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_fatandira_2	true	true	ui/portraits/portholes/no_culture/arb_fatandira.png	ovn_arb_cha_fatandira_0	ovn_arb_cha_fatandira_2	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_golden_magus_0	true	true	ui/portraits/portholes/no_culture/arb_golden_magus.png	ovn_arb_cha_golden_magus_0	ovn_arb_cha_golden_magus_0	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_golden_magus_1	true	true	ui/portraits/portholes/no_culture/arb_golden_magus.png	ovn_arb_cha_golden_magus_1	ovn_arb_cha_golden_magus_1	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_golden_magus_2	true	true	ui/portraits/portholes/no_culture/arb_golden_magus.png	ovn_arb_cha_golden_magus_0	ovn_arb_cha_golden_magus_2	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_sheikh_0	true	true	ui/portraits/portholes/no_culture/arb_sheikh_01.png	ovn_arb_cha_sheikh_01	ovn_arb_cha_sheikh_0	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_sheikh_1	true	true	ui/portraits/portholes/no_culture/arb_sheikh_02.png	ovn_arb_cha_sheikh_02	ovn_arb_cha_sheikh_1	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_sheikh_2	true	true	ui/portraits/portholes/no_culture/arb_sheikh_01.png	ovn_arb_cha_sheikh_01	ovn_arb_cha_sheikh_2	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_sheikh_3	true	true	ui/portraits/portholes/no_culture/arb_sheikh_03.png	ovn_arb_cha_sheikh_03	ovn_arb_cha_sheikh_3	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_sheikh_mehmed_0	true	true	ui/portraits/portholes/no_culture/arb_sheikh_mehmed.png	ovn_arb_cha_sheikh_mehmed	ovn_arb_cha_sheikh_mehmed_0	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_sheikh_mehmed_1	true	true	ui/portraits/portholes/no_culture/arb_sheikh_mehmed.png	ovn_arb_cha_sheikh_mehmed	ovn_arb_cha_sheikh_mehmed_1	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_sheikh_mehmed_2	true	true	ui/portraits/portholes/no_culture/arb_sheikh_mehmed.png	ovn_arb_cha_sheikh_mehmed	ovn_arb_cha_sheikh_mehmed_2	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_sheikh_mehmed_3	true	true	ui/portraits/portholes/no_culture/arb_sheikh_mehmed.png	ovn_arb_cha_sheikh_mehmed	ovn_arb_cha_sheikh_mehmed_3	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_vizier_desert_0	true	true	ui/portraits/portholes/no_culture/ovn_arb_magician_desert_vizier_01.png	ovn_arb_cha_vizier_desert_01	wh_dlc03_emp_cha_wizard_beasts_0	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_vizier_desert_1	true	true	ui/portraits/portholes/no_culture/ovn_arb_magician_desert_vizier_01.png	ovn_arb_cha_vizier_desert_01	wh_dlc03_emp_cha_wizard_beasts_0	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_vizier_desert_2	true	true	ui/portraits/portholes/no_culture/ovn_arb_magician_desert_vizier_01.png	ovn_arb_cha_vizier_desert_01	wh_dlc03_emp_cha_wizard_beasts_0	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_vizier_desert_3	true	true	ui/portraits/portholes/no_culture/ovn_arb_magician_desert_vizier_01.png	ovn_arb_cha_vizier_desert_01	wh_dlc03_emp_cha_wizard_beasts_0	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_vizier_fire_0	true	true	ui/portraits/portholes/no_culture/ovn_arb_magician_fire_vizier_02.png	ovn_arb_cha_vizier_fire_02	wh_main_emp_cha_wizard_fire_0	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_vizier_fire_1	true	true	ui/portraits/portholes/no_culture/ovn_arb_magician_fire_vizier_02.png	ovn_arb_cha_vizier_fire_02	wh_main_emp_cha_wizard_fire_0	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_vizier_fire_2	true	true	ui/portraits/portholes/no_culture/ovn_arb_magician_fire_vizier_02.png	ovn_arb_cha_vizier_fire_02	wh_main_emp_cha_wizard_fire_0	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_vizier_fire_3	true	true	ui/portraits/portholes/no_culture/ovn_arb_magician_fire_vizier_02.png	ovn_arb_cha_vizier_fire_02	wh_main_emp_cha_wizard_fire_0	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_vizier_heavens_0	true	true	ui/portraits/portholes/no_culture/ovn_arb_magician_tempest_vizier_03.png	ovn_arb_cha_vizier_heavens_03	wh_main_emp_cha_wizard_heavens_0	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_vizier_heavens_1	true	true	ui/portraits/portholes/no_culture/ovn_arb_magician_tempest_vizier_03.png	ovn_arb_cha_vizier_heavens_03	wh_main_emp_cha_wizard_heavens_0	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_vizier_heavens_2	true	true	ui/portraits/portholes/no_culture/ovn_arb_magician_tempest_vizier_03.png	ovn_arb_cha_vizier_heavens_03	wh_main_emp_cha_wizard_heavens_0	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_vizier_heavens_3	true	true	ui/portraits/portholes/no_culture/ovn_arb_magician_tempest_vizier_03.png	ovn_arb_cha_vizier_heavens_03	wh_main_emp_cha_wizard_heavens_0	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_vizier_life_0	true	true	ui/portraits/portholes/no_culture/ovn_arb_magician_life_vizier_02.png	ovn_arb_cha_vizier_life_02	wh_dlc05_emp_cha_wizard_life_0	false		false
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_vizier_life_1	true	true	ui/portraits/portholes/no_culture/ovn_arb_magician_life_vizier_02.png	ovn_arb_cha_vizier_life_02	wh_dlc05_emp_cha_wizard_life_0	false		false
