character_animation_set	mount_unit	rider_animation_set	vfx_filter_override
#campaign_mount_animation_set_overrides_tables;2;db/campaign_mount_animation_set_overrides_tables/ovn_grudgebringers_only			
cam_hu1_morgan_sword_and_shield	morgan_bernhardt_mount	cam_hu1_morgan_hr1_warhorse_lance_sword_shield	0
cam_hu1_morgan_sword_and_shield	luther_flamenstrike_mount	cam_hu1_morgan_hr1_warhorse_lance_sword_shield	0
cam_lord_hu1_wh3_katarin_staff_and_sword	ice_mage_vladimir_stormbringer_mount	cam_hu1_katarin_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_sword_and_shield	ludwig_uberdorf_mechanical_steed	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	ludwig_uberdorf_mount_main_units	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword	allor_griffon	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1d_elf_sword	ceridan_eagle	cam_lord_hu1d_elf_bi1_eagle_wb_sword_and_shield	0
cam_hu3_dwarf_axe_and_shield	dwarf_envoy_oath_stone	cam_hu3_dwarf_axe_and_shield_mounted	0
cam_hu1_empire_sword_and_shield	matthias_war_wagon	cam_hu1_empire_war_altar_staff_and_sword	0
