attribute	attribute_group
#unit_attributes_to_groups_junctions_tables;2;db/unit_attributes_to_groups_junctions_tables/ovn_fimir_only	
stalk	fim_cha_boglar_shaman
hide_forest	fim_cha_boglar_shaman
guerrilla_deploy	fim_cha_boglar_shaman
expendable	fim_cha_boglar_shaman
encourages	fim_cha_boglar_shaman
stalk	fim_cha_boglar_shaman_hound
hide_forest	fim_cha_boglar_shaman_hound
guerrilla_deploy	fim_cha_boglar_shaman_hound
expendable	fim_cha_boglar_shaman_hound
encourages	fim_cha_boglar_shaman_hound
expendable	fim_inf_boglar
hide_forest	fim_inf_boglar
expendable	fim_inf_shearl
hide_forest	fim_inf_shearl
causes_fear	fim_inf_death_quest
hide_forest	fim_inf_death_quest
unbreakable	fim_inf_death_quest
causes_fear	fim_inf_killing_eye_ror
hide_forest	fim_inf_killing_eye_ror
unbreakable	fim_inf_killing_eye_ror
causes_fear	fim_inf_moor_hounds
guerrilla_deploy	fim_inf_moor_hounds
hide_forest	fim_inf_moor_hounds
strider	fim_inf_moor_hounds
daemonic	fim_inf_moor_hounds
causes_fear	fim_inf_fimm_warriors
hide_forest	fim_inf_fimm_warriors
causes_fear	fim_inf_fimm_warriors_great_weapons
hide_forest	fim_inf_fimm_warriors_great_weapons
causes_fear	fim_inf_fimm_warriors_axe_throwers_ror
hide_forest	fim_inf_fimm_warriors_axe_throwers_ror
causes_fear	fim_mon_gharnus_daemon_ror
hide_forest	fim_mon_gharnus_daemon_ror
causes_fear	fim_mon_fianna_fimm
hide_forest	fim_mon_fianna_fimm
causes_fear	fim_mon_fianna_fimm_great_weapons
hide_forest	fim_mon_fianna_fimm_great_weapons
causes_fear	fim_mon_mistmor
hide_forest	fim_mon_mistmor
expendable	fim_inf_shearl_javelineer
hide_forest	fim_inf_shearl_javelineer
causes_fear	fim_mon_balefiend_apprentices
hide_forest	fim_mon_balefiend_apprentices
causes_fear	fim_cav_marsh_reavers
hide_forest	fim_cav_marsh_reavers
causes_fear	fim_cha_finmor
encourages	fim_cha_finmor
hide_forest	fim_cha_finmor
causes_fear	fim_cha_fimirach_noble
encourages	fim_cha_fimirach_noble
hide_forest	fim_cha_fimirach_noble
causes_fear	fim_cha_fimirach_noble_bog_beast
encourages	fim_cha_fimirach_noble_bog_beast
hide_forest	fim_cha_fimirach_noble_bog_beast
causes_fear	wh_dlc08_nor_cha_fimir_balefiend_death
encourages	wh_dlc08_nor_cha_fimir_balefiend_death
hide_forest	wh_dlc08_nor_cha_fimir_balefiend_death
causes_fear	wh_dlc08_nor_cha_fimir_balefiend_beast
encourages	wh_dlc08_nor_cha_fimir_balefiend_beast
hide_forest	wh_dlc08_nor_cha_fimir_balefiend_beast
causes_fear	fim_cha_meargh_skattach
encourages	fim_cha_meargh_skattach
hide_forest	fim_cha_meargh_skattach
causes_fear	fim_cha_meargh_skattach_palanquin
encourages	fim_cha_meargh_skattach_palanquin
causes_fear	fim_cha_dirach_shadow
encourages	fim_cha_dirach_shadow
hide_forest	fim_cha_dirach_shadow
causes_fear	fim_cha_dirach_fire
encourages	fim_cha_dirach_fire
hide_forest	fim_cha_dirach_fire
causes_fear	fim_cha_dirach_beast
encourages	fim_cha_dirach_beast
hide_forest	fim_cha_dirach_beast
causes_fear	fim_cha_dirach_death
encourages	fim_cha_dirach_death
hide_forest	fim_cha_dirach_death
causes_fear	fim_cav_nuckelavee
hide_forest	fim_cav_nuckelavee
daemonic	fim_cav_nuckelavee
causes_fear	fim_mon_daemonomaniac
causes_terror	fim_mon_daemonomaniac
daemonic	fim_mon_daemonomaniac
causes_fear	fim_inf_swamp_daemons
guerrilla_deploy	fim_inf_swamp_daemons
stalk	fim_inf_swamp_daemons
daemonic	fim_inf_swamp_daemons
causes_fear	fim_veh_eye_oculus
causes_terror	fim_veh_eye_oculus
causes_fear	fim_mon_daemonomaniac_ror
causes_terror	fim_mon_daemonomaniac_ror
daemonic	fim_mon_daemonomaniac_ror
causes_fear	fim_cav_marsh_hornets_ror
hide_forest	fim_cav_marsh_hornets_ror
causes_fear	fim_inf_moor_hounds_ror
causes_terror	fim_inf_moor_hounds_ror
guerrilla_deploy	fim_inf_moor_hounds_ror
hide_forest	fim_inf_moor_hounds_ror
strider	fim_inf_moor_hounds_ror
daemonic	fim_inf_moor_hounds_ror
causes_fear	fim_inf_swamp_daemons_summon
guerrilla_deploy	fim_inf_swamp_daemons_summon
stalk	fim_inf_swamp_daemons_summon
daemonic	fim_inf_swamp_daemons_summon
hide_forest	fim_mon_fenbeast
construct	fim_mon_fenbeast
causes_fear	fim_mon_fenbeast
ignore_trees	fim_mon_fenbeast
strider	ovn_fim_mon_bog_octopus_0_attributes
causes_fear	ovn_fim_mon_bog_octopus_0_attributes
causes_terror	ovn_fim_mon_bog_octopus_0_attributes
hide_forest	ovn_fim_mon_bog_octopus_0_attributes
strider	fim_cha_daemon_octopus_kroll
causes_fear	fim_cha_daemon_octopus_kroll
causes_terror	fim_cha_daemon_octopus_kroll
hide_forest	fim_cha_daemon_octopus_kroll
daemonic	fim_cha_daemon_octopus_kroll
encourages	fim_cha_daemon_octopus_kroll
