building_chain	building_instance	building_or_building_range_start_inclusive	building_range_end_inclusive	building_super_chain	cai_construction_system_category	cai_construction_system_category_group	campaign	culture	faction	sub_culture	per_faction_building_limit_start	per_faction_building_limit_end	per_faction_building_minimum_discount_when_exceeding_limit_start	per_faction_building_maximum_discount_when_exceeding_limit_start	per_faction_building_minimum_discount_when_exceeding_limit_end	per_faction_building_maximum_discount_when_exceeding_limit_end	per_faction_per_building_discount_increment_when_exceeding_limit_start	per_faction_per_building_discount_increment_when_exceeding_limit_end	per_province_building_limit_start	per_province_building_limit_end	per_province_building_minimum_discount_when_exceeding_limit_start	per_province_building_maximum_discount_when_exceeding_limit_start	per_province_building_minimum_discount_when_exceeding_limit_end	per_province_building_maximum_discount_when_exceeding_limit_end	per_province_per_building_discount_increment_when_exceeding_limit_start	per_province_per_building_discount_increment_when_exceeding_limit_end	score_end_inclusive	score_or_score_start_inclusive
#cai_construction_system_building_values_tables;0;db/cai_construction_system_building_values_tables/ovn_araby_golden_magus																												
ovn_arb_flaming_scimitar_unique_minaret						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	400	2500
ovn_arb_flaming_scimitar_main						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	1000
ovn_arb_flaming_scimitar_structure_upkeep						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	1000
ovn_arb_flaming_scimitar_defense_bombardment						cai_military_group					-1	-1	0	0	0	0	0	0	0	0	510	510	510	510	0	0	100	500
ovn_arb_flaming_scimitar_nomad_infantry						cai_military_group					-1	-1	0	0	0	0	0	0	0	0	510	510	510	510	0	0	100	500
ovn_arb_flaming_scimitar_support_mages						cai_military_group					-1	-1	0	0	0	0	0	0	0	0	510	510	510	510	0	0	100	500
ovn_arb_flaming_scimitar_support_monsters						cai_military_group					-1	-1	0	0	0	0	0	0	0	0	510	510	510	510	0	0	100	500
ovn_arb_flaming_scimitar_barracks						cai_military_group					-1	-1	0	0	0	0	0	0	0	0	510	510	510	510	0	0	100	500
ovn_arb_flaming_scimitar_structure_growth						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	50	250
ovn_arb_flaming_scimitar_structure_replenishment						cai_support_group					-1	-1	0	0	0	0	0	0	0	0	810	810	810	810	0	0	50	250
ovn_arb_flaming_scimitar_structure_movement						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	50	250
