key	agent_subtype	factorial_effect	value	scope
#campaign_agent_subtype_factorial_effect_junctions_tables;0;db/campaign_agent_subtype_factorial_effect_junctions_tables/rhox_grudgebringers				
2103091111	ceridan	skaven_discoverability_characters	60	EFS_ONLY_OTHERS
2103091112	ilmarin	skaven_discoverability_characters	60	EFS_ONLY_OWNER
2103091113	ice_mage_vladimir_stormbringer	skaven_discoverability_characters	15	EFS_ONLY_OWNER
2103091114	morgan_bernhardt	skaven_discoverability_characters	15	EFS_ONLY_OWNER
2103091115	dwarf_envoy	skaven_discoverability_characters	15	EFS_ONLY_OWNER
2103091116	ludwig_uberdorf_agent_subtype	skaven_discoverability_characters	15	EFS_ONLY_OWNER
2103091117	gaston	skaven_discoverability_characters	15	EFS_ONLY_OWNER
2103091118	matthias	skaven_discoverability_characters	15	EFS_ONLY_OWNER
2103091119	luther_flamenstrike	skaven_discoverability_characters	15	EFS_ONLY_OWNER
2103091120	allor	skaven_discoverability_characters	15	EFS_ONLY_OWNER
