attrition	faction
#campaign_map_attrition_faction_immunities_tables;0;db/campaign_map_attrition_faction_immunities_tables/ovn_araby_only	
desert	ovn_arb_sultanate_of_all_araby
non_vampire_territory	ovn_arb_sultanate_of_all_araby
desert	ovn_arb_aswad_scythans
non_vampire_territory	ovn_arb_aswad_scythans
desert	ovn_arb_golden_fleet
non_vampire_territory	ovn_arb_golden_fleet
desert	ovn_arb_sultanate_of_el_kalabad
non_vampire_territory	ovn_arb_sultanate_of_el_kalabad
desert	mixer_arb_araby_dummy
non_vampire_territory	mixer_arb_araby_dummy
desert	ovn_arb_sultanate_ind
non_vampire_territory	ovn_arb_sultanate_ind
desert	ovn_arb_cult_of_the_djinns
non_vampire_territory	ovn_arb_cult_of_the_djinns
