key	agent_subtype	factorial_effect	value	scope
#campaign_agent_subtype_factorial_effect_junctions_tables;0;db/campaign_agent_subtype_factorial_effect_junctions_tables/ovn_fimir_only				
996522130	aky_chief_fimir_great_weapons	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
996522131	fim_meargh_skattach	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
996522132	elo_boglar_shaman	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
996522133	fim_dirach_lord_beasts	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
996522134	fim_dirach_lord_fire	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
996522135	fim_dirach_lord_shadow	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
996522136	fim_dirach_lord_death	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
996522137	fim_finmor	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
996522138	wh_dlc08_nor_cha_fimir_balefiend_death	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
996522139	wh_dlc08_nor_cha_fimir_balefiend_beast	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
996522140	aky_chief_fimir_great_weapons_kroll	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
996522141	fim_finmor_kroll	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
996522142	fim_daemon_octopus_kroll	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
