effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/ovn_fimir		
elo_fimir_witness_me	enable	elo_fimir_witness_me
fim_skattach_enable_poison_mist	enable	fim_skattach_poison_mist
fim_skattach_enable_staff_ability	enable	fim_meargh_skattach_staff_balor_ability
fim_kroll_enable_mother_young	enable	ovn_fim_kroll_mother_young
fim_kroll_enable_broodmother	enable	ovn_fim_kroll_broodmother
fim_kroll_enable_fulcrum	enable	ovn_fim_kroll_fulcrum_of_worship
ovn_chs_dark_god_blessing	enable	ovn_chs_dark_god_blessing
ovn_fimir_kroll_dmg_reflect_enable	enable	ovn_fimir_kroll_dmg_reflect
fim_skattach_enable_madness	enable	fim_skattach_madness
ovn_fim_swamp_daemons_regeneration	enable	wh_main_unit_passive_regeneration
fim_skattach_enable_summon_bloodletter	enable	fim_skattach_summon_swampdaemons
ovn_fimir_spell_mastery_1	enable	ovn_fimir_spell_mastery_1
ovn_fimir_spell_mastery_2	enable	ovn_fimir_spell_mastery_2
ovn_fimir_spell_mastery_3	enable	ovn_fimir_spell_mastery_3
ovn_fimir_spell_mastery_4	enable	ovn_fimir_spell_mastery_4
ovn_fimir_spell_mastery_5	enable	ovn_fimir_spell_mastery_5
