building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables;0;db/building_set_to_building_junctions_tables/ovn_albion_res			
ovn_albion_resource_dyes		wh2_main_set_resource	false
ovn_albion_resource_exotic_animals		wh2_main_set_resource	false
ovn_albion_resource_furs		wh2_main_set_resource	false
ovn_albion_resource_gemstones		wh2_main_set_resource	false
ovn_albion_resource_ivory		wh2_main_set_resource	false
ovn_albion_resource_pastures		wh2_main_set_resource	false
ovn_albion_resource_salt		wh2_main_set_resource	false
ovn_albion_resource_spices		wh2_main_set_resource	false
ovn_albion_resource_wine		wh2_main_set_resource	false
ovn_albion_resource_obsidian		wh2_main_set_resource	false
