key	resource
#slot_templates_tables;0;db/slot_templates_tables/ovn_araby_resources	
mixer_ime_minor_primary_sorcerers_islands	ovn_coffee
mixer_ime_minor_primary_pools_of_despair	ovn_coffee
wh2_dlc09_special_quatar_primary	ovn_coffee
wh2_main_oreons_camp_primary	ovn_coffee
mixer_ime_minor_primary_deaths_head_monoliths	ovn_coffee
mixer_ime_minor_primary_sun_tree_glades	ovn_coffee
mixer_ime_minor_primary_soteks_trail	ovn_coffee
mixer_ime_minor_primary_serpent_coast	ovn_coffee
mixer_ime_minor_primary_tower_of_the_stars	ovn_coffee
mixer_ime_minor_primary_shattered_stone_isle	ovn_coffee
mixer_ime_major_primary_tower_of_ashung	ovn_coffee
mixer_ime_minor_primary_marks_of_the_old_ones	ovn_coffee
wh2_main_special_quetza_primary	ovn_coffee
mixer_ime_minor_primary_sentinels_of_xeti	ovn_coffee
mixer_ime_minor_primary_tlax	ovn_coffee
wh2_main_special_tlaxtlan_primary	ovn_coffee
mixer_ime_minor_primary_monument_of_izzatal	ovn_coffee
mixer_ime_major_primary_floating_pyramid	ovn_coffee
mixer_ime_minor_primary_monument_of_the_moon	ovn_coffee
