from	to
#building_upgrades_junction_tables;0;db/building_upgrades_junction_tables/ovn_araby_resources	
ovn_arb_resource_coffee_1	ovn_arb_resource_coffee_2
ovn_arb_resource_coffee_2	ovn_arb_resource_coffee_3
ovn_arb_resource_animals_1	ovn_arb_resource_animals_2
ovn_arb_resource_animals_2	ovn_arb_resource_animals_3
ovn_arb_resource_dyes_1	ovn_arb_resource_dyes_2
ovn_arb_resource_dyes_2	ovn_arb_resource_dyes_3
ovn_arb_resource_furs_1	ovn_arb_resource_furs_2
ovn_arb_resource_furs_2	ovn_arb_resource_furs_3
ovn_arb_resource_gems_1	ovn_arb_resource_gems_2
ovn_arb_resource_gems_2	ovn_arb_resource_gems_3
ovn_arb_resource_gold_1	ovn_arb_resource_gold_2
ovn_arb_resource_gold_2	ovn_arb_resource_gold_3
ovn_arb_resource_iron_1	ovn_arb_resource_iron_2
ovn_arb_resource_iron_2	ovn_arb_resource_iron_3
ovn_arb_resource_ivory_1	ovn_arb_resource_ivory_2
ovn_arb_resource_ivory_2	ovn_arb_resource_ivory_3
ovn_arb_resource_marble_1	ovn_arb_resource_marble_2
ovn_arb_resource_marble_2	ovn_arb_resource_marble_3
ovn_arb_resource_medicine_1	ovn_arb_resource_medicine_2
ovn_arb_resource_medicine_2	ovn_arb_resource_medicine_3
ovn_arb_resource_obsidian_1	ovn_arb_resource_obsidian_2
ovn_arb_resource_obsidian_2	ovn_arb_resource_obsidian_3
ovn_arb_resource_pasture_1	ovn_arb_resource_pasture_2
ovn_arb_resource_pasture_2	ovn_arb_resource_pasture_3
ovn_arb_resource_pottery_1	ovn_arb_resource_pottery_2
ovn_arb_resource_pottery_2	ovn_arb_resource_pottery_3
ovn_arb_resource_salt_1	ovn_arb_resource_salt_2
ovn_arb_resource_salt_2	ovn_arb_resource_salt_3
ovn_arb_resource_spices_1	ovn_arb_resource_spices_2
ovn_arb_resource_spices_2	ovn_arb_resource_spices_3
ovn_arb_resource_wine_1	ovn_arb_resource_wine_2
ovn_arb_resource_wine_2	ovn_arb_resource_wine_3
ovn_arb_resource_wood_1	ovn_arb_resource_wood_2
ovn_arb_resource_wood_2	ovn_arb_resource_wood_3
