from	to
#building_upgrades_junction_tables;0;db/building_upgrades_junction_tables/ovn_araby_golden_magus	
ovn_arb_flaming_scimitar_main_1	ovn_arb_flaming_scimitar_main_2
ovn_arb_flaming_scimitar_main_2	ovn_arb_flaming_scimitar_main_3
ovn_arb_flaming_scimitar_main_3	ovn_arb_flaming_scimitar_main_4
ovn_arb_flaming_scimitar_main_4	ovn_arb_flaming_scimitar_main_5
ovn_arb_flaming_scimitar_barracks_1	ovn_arb_flaming_scimitar_barracks_2
ovn_arb_flaming_scimitar_barracks_2	ovn_arb_flaming_scimitar_barracks_3
ovn_arb_flaming_scimitar_barracks_3	ovn_arb_flaming_scimitar_barracks_4
ovn_arb_flaming_scimitar_nomad_infantry_1	ovn_arb_flaming_scimitar_nomad_infantry_2
ovn_arb_flaming_scimitar_support_monsters_1	ovn_arb_flaming_scimitar_support_monsters_2
ovn_arb_flaming_scimitar_support_mages_1	ovn_arb_flaming_scimitar_support_mages_2
ovn_arb_flaming_scimitar_support_mages_2	ovn_arb_flaming_scimitar_support_mages_3
ovn_arb_flaming_scimitar_structure_movement_1	ovn_arb_flaming_scimitar_structure_movement_2
ovn_arb_flaming_scimitar_structure_movement_2	ovn_arb_flaming_scimitar_structure_movement_3
ovn_arb_flaming_scimitar_structure_upkeep_1	ovn_arb_flaming_scimitar_structure_upkeep_2
ovn_arb_flaming_scimitar_structure_upkeep_2	ovn_arb_flaming_scimitar_structure_upkeep_3
ovn_arb_flaming_scimitar_structure_replenishment_1	ovn_arb_flaming_scimitar_structure_replenishment_2
ovn_arb_flaming_scimitar_structure_replenishment_2	ovn_arb_flaming_scimitar_structure_replenishment_3
ovn_arb_flaming_scimitar_structure_growth_1	ovn_arb_flaming_scimitar_structure_growth_2
ovn_arb_flaming_scimitar_structure_growth_2	ovn_arb_flaming_scimitar_structure_growth_3
ovn_arb_flaming_scimitar_defense_bombardment_1	ovn_arb_flaming_scimitar_defense_magical_bombardment_1
ovn_arb_flaming_scimitar_defense_magical_bombardment_1	ovn_arb_flaming_scimitar_defense_magical_bombardment_2
ovn_special_golden_magus_paradise_1	ovn_special_golden_magus_paradise_2
ovn_special_golden_magus_paradise_2	ovn_special_golden_magus_paradise_3
ovn_special_golden_magus_paradise_3	ovn_special_golden_magus_paradise_4
ovn_special_golden_magus_paradise_4	ovn_special_golden_magus_paradise_5
ovn_special_golden_magus_paradise_ruin	ovn_special_golden_magus_paradise_1
