from	to
#building_upgrades_junction_tables;0;db/building_upgrades_junction_tables/ovn_araby_only	
ovn_arb_allied_outpost_1	ovn_arb_allied_outpost_2
ovn_arb_allied_outpost_2	ovn_arb_allied_outpost_3
ovn_arb_settlement_major_1	ovn_arb_settlement_major_2
ovn_arb_settlement_major_2	ovn_arb_settlement_major_3
ovn_arb_settlement_major_3	ovn_arb_settlement_major_4
ovn_arb_settlement_major_4	ovn_arb_settlement_major_5
ovn_arb_settlement_major_ruin	ovn_arb_settlement_major_1
ovn_arb_settlement_minor_1	ovn_arb_settlement_minor_2
ovn_arb_settlement_minor_2	ovn_arb_settlement_minor_3
ovn_arb_settlement_minor_ruin	ovn_arb_settlement_minor_1
ovn_arb_port_1	ovn_arb_port_2
ovn_arb_port_2	ovn_arb_port_3
ovn_arb_port_ruin	ovn_arb_port_1
ovn_arb_city_barracks_1	ovn_arb_city_barracks_2
ovn_arb_city_barracks_2	ovn_arb_city_barracks_3
ovn_arb_city_barracks_3	ovn_arb_city_barracks_4
ovn_arb_nomad_infantry_1	ovn_arb_nomad_infantry_2
ovn_arb_nomad_infantry_2	ovn_arb_nomad_infantry_3
ovn_arb_nomad_cavalry_1	ovn_arb_nomad_cavalry_2
ovn_arb_nomad_cavalry_2	ovn_arb_nomad_cavalry_3
ovn_arb_nomad_cavalry_3	ovn_arb_nomad_cavalry_4
ovn_arb_djinn_1	ovn_arb_djinn_2
ovn_arb_djinn_2	ovn_arb_djinn_3
ovn_arb_elephants_1	ovn_arb_elephants_2
ovn_arb_artillery_1	ovn_arb_artillery_2
ovn_arb_artillery_2	ovn_arb_artillery_3
ovn_arb_defence_major_1	ovn_arb_defence_major_2
ovn_arb_defence_major_2	ovn_arb_defence_major_3
ovn_arb_defence_minor_1	ovn_arb_defence_minor_2
ovn_arb_growth_1	ovn_arb_growth_2
ovn_arb_growth_2	ovn_arb_growth_3
ovn_arb_income_1	ovn_arb_income_2
ovn_arb_income_2	ovn_arb_income_3
ovn_arb_order_1	ovn_arb_order_2
ovn_arb_order_2	ovn_arb_order_3
ovn_arb_slaves_1	ovn_arb_slaves_2
ovn_arb_healing_1	ovn_arb_healing_2
wh3_main_foreign_slot_discovery_arb_1	wh3_main_foreign_slot_discovery_arb_2
wh3_main_foreign_slot_discovery_arb_2	wh3_main_foreign_slot_discovery_arb_3
ovn_arb_special_settlement_al_haikk_1	ovn_arb_special_settlement_al_haikk_2
ovn_arb_special_settlement_al_haikk_2	ovn_arb_special_settlement_al_haikk_3
ovn_arb_special_settlement_al_haikk_3	ovn_arb_special_settlement_al_haikk_4
ovn_arb_special_settlement_al_haikk_4	ovn_arb_special_settlement_al_haikk_5
ovn_arb_special_settlement_al_haikk_ruin	ovn_arb_special_settlement_al_haikk_1
ovn_special_tomb_king_crypt_1	ovn_special_tomb_king_crypt_2
ovn_special_tomb_king_crypt_2	ovn_special_tomb_king_crypt_3
ovn_arb_defence_major_1_scythans	ovn_arb_defence_major_2_scythans
ovn_arb_defence_major_2_scythans	ovn_arb_defence_major_3_scythans
ovn_arb_defence_minor_1_scythans	ovn_arb_defence_minor_2_scythans
ovn_special_copher_port_araby_1	ovn_special_copher_port_araby_2
ovn_special_copher_port_araby_ruin	ovn_special_copher_port_araby_1
ovn_arb_growth_1_scythans	ovn_arb_growth_2_scythans
ovn_arb_growth_2_scythans	ovn_arb_growth_3_scythans
ovn_arb_income_1_scythans	ovn_arb_income_2_scythans
ovn_arb_income_2_scythans	ovn_arb_income_3_scythans
ovn_arb_order_1_scythans	ovn_arb_order_2_scythans
ovn_arb_order_2_scythans	ovn_arb_order_3_scythans
