bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/ovn_fimir_only		
melee_attack_mod	elo_fimir_first_wave_ma	first_wave
melee_damage_mod_mult	elo_fimir_first_wave_wps	first_wave
melee_damage_ap_mod_mult	elo_fimir_first_wave_wps	first_wave
mod_land_movement_battle	elo_fimir_rusher_sp	fimir_rushers
charge_add	elo_fimir_rusher_ch	fimir_rushers
ammo_mod	fim_effect_force_stat_ammunition_fimir_ranged_units	fimir_ranged
missile_damage_ap_mod_mult	fim_effect_force_stat_missile_damage_fimir_ranged_units	fimir_ranged
missile_damage_mod_mult	fim_effect_force_stat_missile_damage_fimir_ranged_units	fimir_ranged
armour_mod	elo_fimir_bog_monsters_arm	fimir_bog_monsters
melee_attack_mod	elo_fimir_bog_monsters_ma	fimir_bog_monsters
melee_attack_mod	elo_fimir_swamp_warriors_ma	swamp_warriors
melee_damage_ap_mod_mult	elo_fimir_swamp_warriors_wps	swamp_warriors
melee_damage_mod_mult	elo_fimir_swamp_warriors_wps	swamp_warriors
melee_attack_mod	elo_fimir_giants_fen_ma	fimir_giants_fen
melee_defence_mod	elo_fimir_giants_fen_md	fimir_giants_fen
armour_mod	elo_fimir_r7_warriors_armour	fimir_r7_warriors
melee_defence_mod	elo_fimir_r7_warriors_md	fimir_r7_warriors
unit_damage_resistance_physical_mod	elo_fimir_r7_warriors_phyres	fimir_r7_warriors
charge_add	elo_fimir_r7_fast_ch	fimir_r7_fast
melee_attack_mod	elo_fimir_r7_fast_ma	fimir_r7_fast
melee_damage_ap_mod_mult	elo_fimir_r7_fast_wps	fimir_r7_fast
melee_damage_mod_mult	elo_fimir_r7_fast_wps	fimir_r7_fast
melee_damage_ap_mod_mult	elo_fimir_r7_auxillaries_wps	fimir_r7_auxillaries
melee_damage_mod_mult	elo_fimir_r7_auxillaries_wps	fimir_r7_auxillaries
unit_damage_resistance_missile_mod	elo_fimir_r7_auxillaries_missres	fimir_r7_auxillaries
morale	elo_fimir_r7_auxillaries_morale	fimir_r7_auxillaries
