key	owner_bundle	faction_swapping_id	hidden_settlement_override	terrain_patch_area	unnamed colour group_1
#regions_tables;0;db/regions_tables/zzz_ovn_araby_tow					
cr_oldworld_region_aarnau		emp	false		251BC5
cr_oldworld_region_achaes		emp	false		A42061
cr_oldworld_region_aesir_pass		emp	false		B02654
cr_oldworld_region_aeslings_conclave		emp	false		C2F350
cr_oldworld_region_ahlenhof		emp	false		BD506A
cr_oldworld_region_akendorf		emp	false		98674F
cr_oldworld_region_aldente		emp	false		5AC874
cr_oldworld_region_aldium		emp	false		3D358A
cr_oldworld_region_alencon		emp	false		B2633B
cr_oldworld_region_almagora		emp	false		51387A
cr_oldworld_region_alquezaro		emp	false		E6D64E
cr_oldworld_region_altar_of_spawns		emp	false		56824A
cr_oldworld_region_altar_of_the_crimson_harvest		emp	false		06C627
cr_oldworld_region_altdorf		emp	false		DEDF83
cr_oldworld_region_argalis		emp	false		130817
cr_oldworld_region_averheim		emp	false		B8A0D2
cr_oldworld_region_azuara		emp	false		87BFBE
cr_oldworld_region_barag_dawazbag		emp	false		67CF21
cr_oldworld_region_barak_varr		emp	false		B43A38
cr_oldworld_region_barboza		emp	false		4CDB7A
cr_oldworld_region_barfleur		emp	false		C712B4
cr_oldworld_region_barley_motte		emp	false		C040F1
cr_oldworld_region_barrows_of_cuileux		emp	false		E03DB4
cr_oldworld_region_bechafen		emp	false		307B08
cr_oldworld_region_belava		emp	false		D72405
cr_oldworld_region_belmoz		emp	false		FD052C
cr_oldworld_region_bilbali		emp	false		38FC0C
cr_oldworld_region_kalti_delta		emp	false		6BE35A
cr_oldworld_region_bitterstone_mine		emp	false		F62417
cr_oldworld_region_bjornlings_gathering		emp	false		BD20CB
cr_oldworld_region_black_chasm		emp	false		8937A2
cr_oldworld_region_black_crag		emp	false		1E5440
cr_oldworld_region_black_gulch		emp	false		03B0A1
cr_oldworld_region_black_iron_fort		emp	false		44069C
cr_oldworld_region_black_iron_mine		emp	false		2B3AD0
cr_oldworld_region_blackclaw_lair		emp	false		97D3D0
cr_oldworld_region_blackgouge		emp	false		B71C2D
cr_oldworld_region_blackstone_tower		emp	false		9ECAE8
cr_oldworld_region_bleeding_stone		emp	false		8A0D04
cr_oldworld_region_blizzard_gap		emp	false		21627C
cr_oldworld_region_blood_keep		emp	false		50DB82
cr_oldworld_region_bloody_spires		emp	false		A7BE8E
cr_oldworld_region_bogenhafen		emp	false		4B70E1
cr_oldworld_region_bohsenfels		emp	false		FF36F8
cr_oldworld_region_bokel		emp	false		CAAC80
cr_oldworld_region_bol_a_hat		emp	false		30B1B6
cr_oldworld_region_bolgasgrad		emp	false		4DD4AA
cr_oldworld_region_borgas		emp	false		03E649
cr_oldworld_region_brass_keep		emp	false		791A48
cr_oldworld_region_brockel		emp	false		6B5E82
cr_oldworld_region_broekwater		emp	false		85463E
cr_oldworld_region_broken_peak		emp	false		DB4420
cr_oldworld_region_brovska		emp	false		727F85
cr_oldworld_region_brusse		emp	false		590F8E
cr_oldworld_region_bugmans_brewery		emp	false		0BF416
cr_oldworld_region_campogrotta		emp	false		528D0F
cr_oldworld_region_carroburg		emp	false		422AEC
cr_oldworld_region_castle_alexandronov		emp	false		FD1BF1
cr_oldworld_region_castle_aquitaine		emp	false		D90713
cr_oldworld_region_castle_artois		emp	false		3CA941
cr_oldworld_region_castle_bastonne		emp	false		04C11C
cr_oldworld_region_castle_bordeleaux		emp	false		8CA5DD
cr_oldworld_region_castle_brionne		emp	false		2C52C1
cr_oldworld_region_castle_carcassonne		emp	false		46A223
cr_oldworld_region_castle_desfleuve		emp	false		7F7419
cr_oldworld_region_castle_drachenfels		emp	false		5834E3
cr_oldworld_region_castle_drakenhof		emp	false		5DE9DB
cr_oldworld_region_castle_gransette		emp	false		4F13BB
cr_oldworld_region_castle_gisoreux		emp	false		9D988D
cr_oldworld_region_castle_garamont		emp	false		BC6060
cr_oldworld_region_castle_grauenburg		emp	false		E6837D
cr_oldworld_region_castle_languille		emp	false		219B77
cr_oldworld_region_castle_lyonesse		emp	false		03706F
cr_oldworld_region_castle_mousillon		emp	false		6A61F0
cr_oldworld_region_castle_parravon		emp	false		CA4D3C
cr_oldworld_region_castle_quenelles		emp	false		194E51
cr_oldworld_region_castle_rachard		emp	false		3ECF91
cr_oldworld_region_castle_sangasse		emp	false		41F1E6
cr_oldworld_region_castle_sanglac		emp	false		4E9AC8
cr_oldworld_region_castle_templehof		emp	false		B14CFE
cr_oldworld_region_castle_von_rauken		emp	false		91AA7B
cr_oldworld_region_cebreros		emp	false		55B4A4
cr_oldworld_region_chamon_dharek		emp	false		F83815
cr_oldworld_region_chantillon		emp	false		535166
cr_oldworld_region_chateau_depee		emp	false		F48FE3
cr_oldworld_region_chebokov		emp	false		58068C
cr_oldworld_region_choika		emp	false		A1334B
cr_oldworld_region_circle_of_the_sun		emp	false		587AD9
cr_oldworld_region_citadel_of_lead		emp	false		EDE912
cr_oldworld_region_citadel_of_myrmidia		emp	false		7127FE
cr_oldworld_region_cockatrice_lair		emp	false		BC13F3
cr_oldworld_region_couronne		emp	false		5E4D22
cr_oldworld_region_crag_halls_of_findol		emp	false		1FC1AE
cr_oldworld_region_crookback_mountain		emp	false		6826B7
cr_oldworld_region_crooked_fang_fort		emp	false		9A0DE1
cr_oldworld_region_crooktail_peak		emp	false		519097
cr_oldworld_region_da_howlaz_camp		emp	false		135F89
cr_oldworld_region_dagnyper		emp	false		A7A1C0
cr_oldworld_region_dark_maiden_pass		emp	false		E9AF48
cr_oldworld_region_dason		emp	false		E39E5B
cr_oldworld_region_deadgate		emp	false		8F41DC
cr_oldworld_region_death_rock		emp	false		A7C264
cr_oldworld_region_deghov		emp	false		EF4F84
cr_oldworld_region_deinste		emp	false		5EE880
cr_oldworld_region_delberz		emp	false		41086D
cr_oldworld_region_derrevin_libre		emp	false		AD0AC5
cr_oldworld_region_dhazhyn		emp	false		134D02
cr_oldworld_region_diamanterra		emp	false		058854
cr_oldworld_region_dietershafen		emp	false		DFAA95
cr_oldworld_region_dok_karaz		emp	false		90C3F6
cr_oldworld_region_doom_keep		emp	false		A1D829
cr_oldworld_region_dragonbone		emp	false		8AE023
cr_oldworld_region_dragonhorn_mines		emp	false		A15A88
cr_oldworld_region_drakefjord		emp	false		FF13C7
cr_oldworld_region_dringorackaz		emp	false		878FA3
cr_oldworld_region_ducieso		emp	false		B886D5
cr_oldworld_region_dukelberg		emp	false		F24EB3
cr_oldworld_region_durango		emp	false		806D96
cr_oldworld_region_dushyka		emp	false		FC50B1
cr_oldworld_region_eicheschatten		emp	false		78DE0C
cr_oldworld_region_eilhart		emp	false		C0CDEA
cr_oldworld_region_ekrund		emp	false		014E67
cr_oldworld_region_eldagsen		emp	false		CD9E33
cr_oldworld_region_erengrad		emp	false		869D14
cr_oldworld_region_eschen		emp	false		09DD58
cr_oldworld_region_essen		emp	false		EF118D
cr_oldworld_region_fallen_king_mountain		emp	false		AD881D
cr_oldworld_region_fassberg		emp	false		03AC8E
cr_oldworld_region_feast_halls_of_the_wardancers		emp	false		078F8B
cr_oldworld_region_ferignac		emp	false		E54CAD
cr_oldworld_region_ferlangen		emp	false		A78750
cr_oldworld_region_fester_spike		emp	false		B891B4
cr_oldworld_region_fjirgard		emp	false		91B6B1
cr_oldworld_region_flensburg		emp	false		EE879C
cr_oldworld_region_flying_fortress		emp	false		4049AB
cr_oldworld_region_forbidden_citadel		emp	false		2DA60A
cr_oldworld_region_forest_of_gloom		emp	false		A38FAB
cr_oldworld_region_forest_of_sighs		emp	false		07A846
cr_oldworld_region_fort_bergbres		emp	false		959AC1
cr_oldworld_region_fort_jakova		emp	false		E6BA27
cr_oldworld_region_fort_korver		emp	false		AC488C
cr_oldworld_region_fort_oberstyre		emp	false		49607F
cr_oldworld_region_fort_ostrosk		emp	false		C05301
cr_oldworld_region_fort_schippel		emp	false		F1F3E5
cr_oldworld_region_fort_solace		emp	false		EF47FC
cr_oldworld_region_fort_straghov		emp	false		AB1EAA
cr_oldworld_region_fort_sturchod		emp	false		FC4EA8
cr_oldworld_region_fort_uilegzny		emp	false		07C0BA
cr_oldworld_region_foul_fortress		emp	false		AF4D1C
cr_oldworld_region_foul_peak		emp	false		39D1BD
cr_oldworld_region_frigustrexs_lair		emp	false		5BC4D6
