ancillary	effect	effect_scope	value
#ancillary_to_effects_tables;0;db/ancillary_to_effects_tables/obo_grudgebringers_data			
grudge_anc_rune_rune_of_fury	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	12.0000
grudge_anc_rune_rune_of_might	wh_main_effect_character_stat_weapon_strength	character_to_character_own	18.0000
grudge_anc_rune_rune_of_parrying	wh_main_effect_character_stat_melee_defence	character_to_character_own	20.0000
grudge_anc_rune_rune_of_striking	wh_main_effect_character_stat_melee_attack	character_to_character_own	10.0000
grudge_item_horn_of_urgok	grudge_effect_ability_enable_horn_of_urgok	character_to_character_own	1.0000
grudge_item_horn_of_urgok	wh_main_effect_character_stat_leadership	character_to_character_own	5.0000
grudge_item_grudgebringer_sword	grudge_effect_ability_enable_grudgebringer_sword	character_to_character_own	1.0000
grudge_item_grudgebringer_sword	wh_main_effect_character_stat_weapon_strength	character_to_character_own	15.0000
grudge_item_grudgebringer_sword	wh_main_effect_character_stat_melee_attack	character_to_character_own	15.0000
grudge_item_grudgebringer_sword	wh2_main_effect_character_stat_enable_flaming_attacks	character_to_character_own	1.0000
grudge_item_hellfire_sword	grudge_effect_ability_enable_hellfire_sword	character_to_character_own	1.0000
grudge_item_hellfire_sword	wh_main_effect_character_stat_weapon_strength	character_to_character_own	15.0000
grudge_item_storm_sword	grudge_effect_ability_enable_storm_sword	character_to_character_own	1.0000
grudge_item_storm_sword	wh_main_effect_character_stat_weapon_strength	character_to_character_own	15.0000
grudge_item_runefang	wh2_main_effect_character_stat_weapon_strength_vs_vampire_counts	character_to_character_own	80.0000
grudge_item_runefang	wh2_main_effect_character_stat_melee_attack_vs_undead	character_to_character_own	20.0000
grudge_item_runefang	wh_main_effect_character_stat_weapon_strength	character_to_character_own	10.0000
grudge_item_runefang	grudge_effect_ability_enable_the_reikland_runefang	character_to_character_own	1.0000
grudge_item_runefang	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000
grudge_item_enchanted_shield	wh_main_effect_character_stat_melee_defence	character_to_character_own	10.0000
grudge_item_enchanted_shield	wh_main_effect_character_stat_armour	character_to_character_own	20.0000
grudge_item_enchanted_shield	wh_main_effect_character_stat_magic_resistance	character_to_character_own	10.0000
grudge_item_shield_of_ptolos	wh_main_effect_character_stat_armour	character_to_character_own	5.0000
grudge_item_shield_of_ptolos	wh_main_effect_force_stat_missile_resistance	character_to_character_own	70.0000
grudge_item_spelleater_shield	wh_main_effect_character_stat_armour	character_to_character_own	3.0000
grudge_item_spelleater_shield	wh_main_effect_character_stat_magic_resistance	character_to_character_own	70.0000
grudge_item_spelleater_shield	grudge_effect_ability_enable_spelleater_shield	character_to_character_own	1.0000
grudge_item_dragonhelm	wh_main_effect_character_stat_armour	character_to_character_own	10.0000
grudge_item_dragonhelm	wh_main_effect_character_stat_fire_resistance	character_to_character_own	100.0000
grudge_item_wand_of_jet	wh2_dlc14_effect_magic_cost_all_lores_percentage	character_to_character_own	-20.0000
morgan_bernhardt_mount	morgan_bernhardt_mount	character_to_character_own	1.0000
grudge_item_sword_of_eilor	wh_main_effect_character_stat_melee_attack	character_to_character_own	10.0000
grudge_item_sword_of_eilor	wh_main_effect_character_stat_weapon_strength	character_to_character_own	12.0000
grudge_item_sword_of_eilor	wh_main_effect_character_stat_bonus_vs_infantry	character_to_character_own	5.0000
grudge_item_sword_of_eilor	rhox_grudge_effect_enable_sword_of_elior	character_to_character_own	1.0000
vladimir_stormbringer_mount	vladimir_stormbringer_mount	character_to_character_own	1.0000
