stance	culture	subculture	faction	force_type	effect_bundle	resource_cost
#campaign_stance_effects_junctions_tables;1;db/campaign_stance_effects_junctions_tables/rhox_araby						
MILITARY_FORCE_ACTIVE_STANCE_TYPE_FIXED_CAMP				ARABY_CARAVAN	wh3_main_bundle_stance_cathay_caravan	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_PATROL		ovn_sc_arb_araby		CHARACTER_BOUND_HORDE	arb_golden_magus_navy_camp	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_PATROL		ovn_sc_arb_araby		SPECIALIST_HORDE	arb_golden_magus_navy_camp	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_PATROL		ovn_sc_arb_araby		ovn_araby_flaming_scimitar_boat	arb_golden_magus_navy_camp	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP		ovn_sc_arb_araby		CHARACTER_BOUND_HORDE	arb_golden_magus_inland_camp	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP		ovn_sc_arb_araby		SPECIALIST_HORDE	arb_golden_magus_inland_camp	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE		ovn_sc_arb_araby		ovn_araby_flaming_scimitar_boat	arb_golden_magus_inland_camp	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE		ovn_sc_arb_araby		CHARACTER_BOUND_HORDE	arb_golden_magus_inland_camp	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE		ovn_sc_arb_araby		SPECIALIST_HORDE	arb_golden_magus_inland_camp	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING			ovn_arb_golden_fleet		rhox_araby_bundle_stance_army_channelling_digging	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING			ovn_arb_golden_fleet	ovn_araby_flaming_scimitar_boat	rhox_araby_bundle_stance_army_channelling_digging	
