key	display_path	logic_file_override	collision_file_override	logic_file	collision_file
#models_building_tables;8;db/models_building_tables/ovn_araby_settlement_map_and_walls					
arb_wall_angled_joiner	buildings/arb/walls			rigidmodels\buildings\cth_wall_angled_joiner\cth_wall_angled_joiner_tech.cs2.parsed	rigidmodels\buildings\cth_wall_angled_joiner\cth_wall_angled_joiner_tech.cs2.collision
arb_wall_angled_to_grid_joiner	buildings/arb/walls			rigidmodels\buildings\cth_wall_angled_to_grid_joiner\cth_wall_angled_to_grid_joiner_tech.cs2.parsed	rigidmodels\buildings\cth_wall_angled_to_grid_joiner\cth_wall_angled_to_grid_joiner_tech.cs2.collision
arb_wall_corner_90_external	buildings/arb/walls			rigidmodels\buildings\cth_wall_corner_90_external\cth_wall_corner_90_external_tech.cs2.parsed	rigidmodels\buildings\cth_wall_corner_90_external\cth_wall_corner_90_external_tech.cs2.collision
arb_wall_corner_90_internal	buildings/arb/walls			rigidmodels\buildings\cth_wall_corner_90_internal\cth_wall_corner_90_internal_tech.cs2.parsed	rigidmodels\buildings\cth_wall_corner_90_internal\cth_wall_corner_90_internal_tech.cs2.collision
arb_wall_gatehouse_60	buildings/arb/walls			rigidmodels\buildings\cth_wall_gatehouse_60\cth_wall_gatehouse_60_tech.cs2.parsed	rigidmodels\buildings\cth_wall_gatehouse_60\cth_wall_gatehouse_60_tech.cs2.collision
arb_wall_grid_to_angled_joiner	buildings/arb/walls			rigidmodels\buildings\cth_wall_grid_to_angled_joiner\cth_wall_grid_to_angled_joiner_tech.cs2.parsed	rigidmodels\buildings\cth_wall_grid_to_angled_joiner\cth_wall_grid_to_angled_joiner_tech.cs2.collision
arb_wall_merlon_01	buildings/arb/walls			rigidmodels\buildings\cth_wall_merlon_01\cth_wall_merlon_01_tech.cs2.parsed	rigidmodels\buildings\cth_wall_merlon_01\cth_wall_merlon_01_tech.cs2.collision
arb_wall_merlon_02	buildings/arb/walls			rigidmodels\buildings\cth_wall_merlon_01\cth_wall_merlon_01_tech.cs2.parsed	rigidmodels\buildings\cth_wall_merlon_01\cth_wall_merlon_01_tech.cs2.collision
arb_wall_straight_20m_01	buildings/arb/walls			rigidmodels\buildings\cth_wall_straight_20m_01\cth_wall_straight_20m_01_tech.cs2.parsed	rigidmodels\buildings\cth_wall_straight_20m_01\cth_wall_straight_20m_01_tech.cs2.collision
arb_wall_straight_20m_emplacement	buildings/arb/walls			rigidmodels\buildings\cth_wall_straight_20m_emplacement\cth_wall_straight_20m_emplacement_tech.cs2.parsed	rigidmodels\buildings\cth_wall_straight_20m_emplacement\cth_wall_straight_20m_emplacement_tech.cs2.collision
arb_wall_tower	buildings/arb/walls			rigidmodels\buildings\cth_wall_tower\cth_wall_tower_tech.cs2.parsed	rigidmodels\buildings\cth_wall_tower\cth_wall_tower_tech.cs2.collision
arb_wall_stepdown_15m	buildings/arb/walls			rigidmodels\buildings\tmb_wall_stepdown_15m\tmb_wall_stepdown_15m_tech.cs2.parsed	rigidmodels\buildings\tmb_wall_stepdown_15m\tmb_wall_stepdown_15m_tech.cs2.collision
arb_wall_stepup_15m	buildings/arb/walls			rigidmodels\buildings\tmb_wall_stepup_15m\tmb_wall_stepup_15m_tech.cs2.parsed	rigidmodels\buildings\tmb_wall_stepup_15m\tmb_wall_stepup_15m_tech.cs2.collision
