faction	vehicle
#battle_siege_vehicle_permissions_tables;0;db/battle_siege_vehicle_permissions_tables/ovn_fimir_only	
ovn_fim_rancor_hold	chs_battering_ram
ovn_fim_tendrils_of_doom	chs_battering_ram
ovn_fim_marsh_hornets	chs_battering_ram
ovn_fim_mist_dragons	chs_battering_ram
mixer_fim_fimir_dummy	chs_battering_ram
ovn_fim_rancor_hold	chs_siege_tower_15m
ovn_fim_tendrils_of_doom	chs_siege_tower_15m
ovn_fim_marsh_hornets	chs_siege_tower_15m
ovn_fim_mist_dragons	chs_siege_tower_15m
mixer_fim_fimir_dummy	chs_siege_tower_15m
ovn_fim_thunderous_sight	chs_battering_ram
ovn_fim_thunderous_sight	chs_siege_tower_15m
ovn_fim_fen_serpents	chs_battering_ram
ovn_fim_fen_serpents	chs_siege_tower_15m
ovn_fim_hell_gate	chs_battering_ram
ovn_fim_hell_gate	chs_siege_tower_15m
