decision_profile	personality
#cai_personalities_decision_profile_junctions_tables;1;db/cai_personalities_decision_profile_junctions_tables/ovn_araby	
cathay_caravan_start_profile	ovn_arb_sultanate_of_all_araby
cathay_caravan_start_profile	ovn_arb_sultanate_of_el_kalabad
allied_buildings_profile	ovn_arb_sultanate_of_all_araby
allied_buildings_profile	ovn_arb_aswad_scythans
allied_buildings_profile	ovn_arb_golden_fleet
allied_buildings_profile	ovn_arb_sultanate_of_el_kalabad
trespass_warning_accept_profile	ovn_arb_sultanate_of_all_araby
trespass_warning_accept_profile	ovn_arb_aswad_scythans
trespass_warning_accept_profile	ovn_arb_golden_fleet
trespass_warning_accept_profile	ovn_arb_sultanate_of_el_kalabad
allied_buildings_profile	ovn_arb_sultanate_ind
trespass_warning_accept_profile	ovn_arb_sultanate_ind
allied_buildings_profile	ovn_arb_cult_of_the_djinns
trespass_warning_accept_profile	ovn_arb_cult_of_the_djinns
