set	item	mod_disabled
#character_skill_node_set_items_tables;0;db/character_skill_node_set_items_tables/ovn_arb_champion_wazar		
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_unique_skills_01	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_unique_skills_02	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_unique_skills_03	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_unique_skills_04	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_unique_skills_05	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_unique_skills_06	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_campaign_01	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_campaign_02	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_campaign_03	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_campaign_04	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_campaign_05	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_campaign_06	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_campaign_actions_dummy	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_immortality	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_innate	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_self_01	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_self_02	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_self_03	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_self_04	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_self_05	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_self_06	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_self_07	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_self_08	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_self_09	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_self_10	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_self_11	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_unique_01	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_unique_02	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_unique_03	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh2_main_skill_node_arb_champion_wazar_unique_04	false
wh2_main_skill_node_set_arb_roy_champion_wazar	wh3_main_agent_action_scaling_wh2_main_skill_node_arb_champion_wazar	false
