unit_set	subculture	cap
#unit_set_to_mp_unit_caps_tables;1;db/unit_set_to_mp_unit_caps_tables/ovn_araby_only		
mp_cap_arb_art_grand_bombard		4
mp_cap_arb_art_grand_bombard_ror		1
mp_cap_arb_art_trebuchet		4
mp_cap_arb_art_naphtha_thrower		4
mp_cap_arb_veh_naphtha_thrower_ror		1
mp_cap_arb_cav_lancer_camels		4
mp_cap_arb_cav_lancer_camels_ror		1
mp_cap_arb_cav_tuareg_riders		4
mp_cap_arb_cav_archer_camels		4
mp_cap_arb_cav_bedouin_scouts		4
mp_cap_arb_cav_jezzail_camels		3
mp_cap_arb_cav_arabyan_knights		3
mp_cap_arb_cav_arabyan_knights_ror		1
mp_cap_arb_cav_sipahis		3
mp_cap_arb_cav_sipahis_ror		1
mp_cap_arb_cav_flying_carpets		3
mp_cap_arb_cav_flying_carpets_ror		1
mp_cap_arb_cav_scorpion_riders		3
mp_cap_arb_inf_arabyan_guard		3
mp_cap_arb_inf_arabyan_guard_ror		1
mp_cap_arb_inf_arabyan_ogres		3
mp_cap_arb_inf_arabyan_spearmen		5
mp_cap_arb_inf_arabyan_warriors		5
mp_cap_arb_inf_corsairs		5
mp_cap_arb_inf_dervishers		5
mp_cap_arb_inf_arabyan_warriors_ror		1
mp_cap_arb_inf_pit_fighters		5
mp_cap_arb_inf_sharkas_slaves		5
mp_cap_arb_inf_southland_warriors		5
mp_cap_arb_mon_desert_spirit		2
mp_cap_arb_mon_desert_spirit_ror		1
mp_cap_arb_mon_elephant		3
mp_cap_arb_mon_fire_efreet		2
mp_cap_arb_mon_fire_efreet_ror		1
mp_cap_arb_mon_genie		2
mp_cap_arb_mon_giant_scorpion		2
mp_cap_arb_mon_promethean_hatchlings		3
mp_cap_arb_mon_sea_nymph		2
mp_cap_arb_mon_sea_nymph_ror		1
mp_cap_arb_mon_war_elephant		2
mp_cap_arb_mon_war_elephant_ror_2		1
mp_cap_arb_mon_war_elephant_ror_1		1
mp_cap_arb_inf_alrahem_nomads		3
mp_cap_arb_inf_arabyan_bowmen		5
mp_cap_arb_inf_naffatun_ror		1
mp_cap_arb_inf_jezzails		3
mp_cap_arb_inf_jezzails_ror		1
mp_cap_arb_mon_necrofex_colossus		2
mp_cap_arb_mon_tempest_djinn		2
mp_cap_arb_mon_tempest_djinn_ror		1
mp_cap_arb_mon_giant_vulture_feral		2
mp_cap_arb_cav_waghzen		3
mp_cap_arb_mon_enchanted_rope		2
mp_cap_arb_djinn_carriage		4
mp_cap_arb_art_ballista		4
mp_cap_arb_art_ballista_ror		4
