resource_cost	trade_resource
#resource_cost_trade_resource_junctions_tables;0;db/resource_cost_trade_resource_junctions_tables/ovn_araby_crafting	
ovn_arb_crafting_weapons_crafted	res_rom_textiles
ovn_arb_crafting_weapons_unique	res_gems
ovn_arb_crafting_weapons_unique	res_gold_idols
ovn_arb_crafting_armor_crafted	res_rom_timber
ovn_arb_crafting_armor_unique	res_gems
ovn_arb_crafting_armor_unique	res_gold_idols
ovn_arb_crafting_enchanted_items_crafted	res_gold_idols
ovn_arb_crafting_enchanted_items_unique	res_gold_idols
ovn_arb_crafting_enchanted_items_unique	res_gems
ovn_arb_crafting_talismans_crafted	res_gold_idols
ovn_arb_crafting_talismans_unique	res_rom_timber
ovn_arb_crafting_talismans_unique	res_gems
ovn_arb_crafting_arcane_items_crafted	res_animals
ovn_arb_crafting_arcane_items_unique	res_rom_textiles
ovn_arb_crafting_arcane_items_unique	res_gems
ovn_arb_crafting_weapons_seeking_bow	res_trinkets
ovn_arb_crafting_arcane_items_monkey_king	res_spices
ovn_arb_crafting_nomad	res_gold_idols
ovn_arb_crafting_armor_scorpion	res_animals
ovn_arb_crafting_weapons_08	res_spices
ovn_arb_crafting_weapons_10	res_rom_iron
ovn_arb_crafting_weapons_11	res_rom_lead
ovn_arb_crafting_weapons_12	res_rom_marble
ovn_arb_crafting_weapons_10	res_rom_wine
ovn_arb_crafting_weapons_11	res_rom_iron
ovn_arb_crafting_weapons_12	res_medicine
ovn_arb_crafting_armor_11	res_rom_glass
ovn_arb_crafting_armor_12	res_rom_iron
ovn_arb_crafting_armor_11	res_obsidian
ovn_arb_crafting_armor_12	res_dyes
ovn_arb_crafting_enchanted_items_07	res_animals
ovn_arb_crafting_enchanted_items_08	res_dyes
ovn_arb_crafting_enchanted_items_10	res_rom_iron
ovn_arb_crafting_enchanted_items_11	res_rom_marble
ovn_arb_crafting_enchanted_items_12	res_rom_glass
ovn_arb_crafting_enchanted_items_10	res_rom_wine
ovn_arb_crafting_enchanted_items_11	res_rom_furs
ovn_arb_crafting_enchanted_items_12	res_rom_lead
ovn_arb_crafting_talismans_09	res_rom_furs
ovn_arb_crafting_talismans_11	res_obsidian
ovn_arb_crafting_talismans_12	res_dyes
ovn_arb_crafting_talismans_11	ovn_coffee
ovn_arb_crafting_talismans_12	res_rom_wine
ovn_arb_crafting_arcane_items_09	res_rom_marble
ovn_arb_crafting_arcane_items_11	res_rom_glass
ovn_arb_crafting_arcane_items_11	ovn_coffee
