template_key	unit_group_key	ratio
#cdir_military_generator_template_ratios_tables;0;db/cdir_military_generator_template_ratios_tables/ovn_fimir_only		
ovn_fimir_meargh	wh3_default_land_artillery_long_range	5
ovn_fimir_meargh	wh3_default_land_characters	10
ovn_fimir_meargh	wh3_default_land_melee_cavalry_main_mounted	10
ovn_fimir_meargh	wh3_default_land_melee_infantry_main_flanking	15
ovn_fimir_meargh	wh3_default_land_melee_infantry_main_frontline_spears	15
ovn_fimir_meargh	wh3_default_land_melee_infantry_main_frontline_spears_high_quality	15
ovn_fimir_meargh	wh3_default_land_melee_infantry_main_frontline_swords	20
ovn_fimir_meargh	wh3_default_land_melee_infantry_main_frontline_swords_high_quality	20
ovn_fimir_meargh	wh3_default_land_melee_infantry_trash	2
ovn_fimir_meargh	wh3_default_land_melee_infantry_trash_spears	2
ovn_fimir_meargh	wh3_default_land_ranged_cavalry_mounted	5
ovn_fimir_meargh	wh3_default_land_ranged_infantry_main_heavy_short_range	5
ovn_fimir_meargh	wh3_default_land_ranged_infantry_main_light_skirmisher	5
ovn_fimir_meargh	wh3_default_land_ranged_infantry_trash	5
ovn_fimir_meargh_2	wh3_default_land_artillery_long_range	5
ovn_fimir_meargh_2	wh3_default_land_characters	10
ovn_fimir_meargh_2	wh3_default_land_melee_cavalry_main_mounted	20
ovn_fimir_meargh_2	wh3_default_land_melee_infantry_main_flanking	10
ovn_fimir_meargh_2	wh3_default_land_melee_infantry_main_frontline_spears	15
ovn_fimir_meargh_2	wh3_default_land_melee_infantry_main_frontline_spears_high_quality	15
ovn_fimir_meargh_2	wh3_default_land_melee_infantry_main_frontline_swords	15
ovn_fimir_meargh_2	wh3_default_land_melee_infantry_main_frontline_swords_high_quality	15
ovn_fimir_meargh_2	wh3_default_land_melee_infantry_trash	10
ovn_fimir_meargh_2	wh3_default_land_melee_infantry_trash_spears	5
ovn_fimir_meargh_2	wh3_default_land_ranged_cavalry_mounted	15
ovn_fimir_meargh_2	wh3_default_land_ranged_infantry_main_heavy_short_range	5
ovn_fimir_meargh_2	wh3_default_land_ranged_infantry_main_light_skirmisher	5
ovn_fimir_meargh_2	wh3_default_land_ranged_infantry_trash	10
