phase	stat	value	how
#special_ability_phase_stat_effects_tables;3;db/special_ability_phase_stat_effects_tables/ovn_grudgebringers_only			
grudge_ability_skv_verminous_valour	scalar_speed	1.2400	mult
grudge_ability_skv_verminous_valour	stat_morale	8.0000	add
grudge_ability_swiftness_of_itzl	scalar_speed	1.3600	mult
grudge_apexplosion1	scalar_missile_explosion_damage_base	1.1000	mult
grudge_apexplosion2	scalar_missile_explosion_damage_base	1.2000	mult
grudge_apexplosion3	scalar_missile_explosion_damage_base	1.3000	mult
grudge_ballistics_calibration1	stat_accuracy	1.1000	mult
grudge_ballistics_calibration2	stat_accuracy	1.2000	mult
grudge_ballistics_calibration3	stat_accuracy	1.3000	mult
grudge_explosion1	scalar_missile_explosion_damage_ap	1.1000	mult
grudge_explosion2	scalar_missile_explosion_damage_ap	1.2000	mult
grudge_explosion3	scalar_missile_explosion_damage_ap	1.3000	mult
grudge_item_abilities_banner_of_arcane_warding	scalar_miscast_chance	1.7000	mult
grudge_item_abilities_horn_of_urgok	stat_melee_attack	-16.0000	add
grudge_item_abilities_horn_of_urgok	stat_melee_damage_base	0.8000	mult
grudge_item_abilities_horn_of_urgok	stat_melee_defence	-22.0000	add
grudge_item_abilities_horn_of_urgok	stat_morale	-18.0000	add
grudge_item_abilities_spelleater_shield	scalar_miscast_chance	1.9000	mult
rhox_grudge_stormbringer_ability	scalar_spell_mastery	1.2000	mult
grudgebringers_wagon	stat_melee_attack	5.0000	add
grudgebringers_wagon	stat_melee_defence	5.0000	add
grudgebringers_wagon	stat_morale	10.0000	add
