agent	faction	subtype	mod_disabled
#faction_agent_permitted_subtypes_tables;1;db/faction_agent_permitted_subtypes_tables/ovn_grudgebringers_only			
champion	ovn_emp_grudgebringers	wh_main_emp_captain	false
colonel	ovn_emp_grudgebringers	wh_main_emp_lord	false
dignitary	ovn_emp_grudgebringers	wh_main_emp_warrior_priest	false
spy	ovn_emp_grudgebringers	wh_main_emp_witch_hunter	false
wizard	ovn_emp_grudgebringers	wh_dlc03_emp_amber_wizard	false
wizard	ovn_emp_grudgebringers	wh_dlc05_emp_grey_wizard	false
wizard	ovn_emp_grudgebringers	wh_dlc05_emp_jade_wizard	false
wizard	ovn_emp_grudgebringers	wh_main_emp_bright_wizard	false
wizard	ovn_emp_grudgebringers	wh_main_emp_celestial_wizard	false
wizard	ovn_emp_grudgebringers	wh_main_emp_light_wizard	false
wizard	ovn_emp_grudgebringers	wh2_pro07_emp_amethyst_wizard	false
general	ovn_emp_grudgebringers	morgan_bernhardt	false
champion	ovn_emp_grudgebringers	ceridan	false
wizard	ovn_emp_grudgebringers	ice_mage_vladimir_stormbringer	false
champion	ovn_emp_grudgebringers	dwarf_envoy	false
general	ovn_emp_grudgebringers	ovn_grudge_camp_lord	false
champion	ovn_emp_grudgebringers	matthias	false
champion	ovn_emp_grudgebringers	luther_flamenstrike	false
champion	ovn_emp_grudgebringers	allor	false
champion	ovn_emp_grudgebringers	ludwig_uberdorf_agent_subtype	false
general	wh_main_grn_greenskins_qb1	ovn_grudge_grn_mon_giant_boss	false
general	wh_main_grn_greenskins_qb1	ovn_grudge_grn_river_troll_hag	false
general	ovn_emp_grudgebringers	wh_main_emp_lord	false
