unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/ovn_araby_fatandira	
ovn_arb_tmb_mon_heirotitan_0	ovn_araby_fatandira
ovn_arb_tmb_mon_necrosphinx_0	ovn_araby_fatandira
ovn_arb_tmb_veh_khemrian_warsphinx_0	ovn_araby_fatandira
ovn_arb_tmb_mon_ushabti_0	ovn_araby_fatandira
ovn_arb_tmb_mon_ushabti_1	ovn_araby_fatandira
wh2_dlc09_tmb_art_casket_of_souls_0	ovn_araby_fatandira
wh2_dlc09_tmb_art_screaming_skull_catapult_0	ovn_araby_fatandira
wh2_dlc09_tmb_cav_necropolis_knights_0	ovn_araby_fatandira
wh2_dlc09_tmb_cav_necropolis_knights_1	ovn_araby_fatandira
wh2_dlc09_tmb_cav_nehekhara_horsemen_0	ovn_araby_fatandira
wh2_dlc09_tmb_cav_skeleton_horsemen_0	ovn_araby_fatandira
wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	ovn_araby_fatandira
wh2_dlc09_tmb_inf_nehekhara_warriors_0	ovn_araby_fatandira
wh2_dlc09_tmb_inf_skeleton_archers_0	ovn_araby_fatandira
wh2_dlc09_tmb_inf_skeleton_spearmen_0	ovn_araby_fatandira
wh2_dlc09_tmb_inf_skeleton_warriors_0	ovn_araby_fatandira
wh2_dlc09_tmb_inf_tomb_guard_0	ovn_araby_fatandira
wh2_dlc09_tmb_inf_tomb_guard_1	ovn_araby_fatandira
wh2_dlc09_tmb_mon_carrion_0	ovn_araby_fatandira
wh2_dlc09_tmb_mon_heirotitan_0	ovn_araby_fatandira
wh2_dlc09_tmb_mon_necrosphinx_0	ovn_araby_fatandira
wh2_dlc09_tmb_mon_sepulchral_stalkers_0	ovn_araby_fatandira
wh2_dlc09_tmb_mon_tomb_scorpion_0	ovn_araby_fatandira
wh2_dlc09_tmb_mon_ushabti_0	ovn_araby_fatandira
wh2_dlc09_tmb_mon_ushabti_1	ovn_araby_fatandira
wh2_dlc09_tmb_veh_khemrian_warsphinx_0	ovn_araby_fatandira
wh2_dlc09_tmb_veh_skeleton_archer_chariot_0	ovn_araby_fatandira
wh2_dlc09_tmb_veh_skeleton_chariot_0	ovn_araby_fatandira
wh2_pro06_tmb_mon_bone_giant_0	ovn_araby_fatandira
ovn_arb_cha_sultan_jaffar_0	ovn_araby_fatandira
ovn_arb_cha_sultan_jaffar_djinn	ovn_araby_fatandira
ovn_arb_cha_fatandira_0	ovn_araby_fatandira
ovn_arb_cha_fatandira_1	ovn_araby_fatandira
ovn_arb_cha_fatandira_2	ovn_araby_fatandira
ovn_arb_cha_golden_magus_0	ovn_araby_fatandira
ovn_arb_cha_golden_magus_1	ovn_araby_fatandira
ovn_arb_cha_golden_magus_2	ovn_araby_fatandira
ovn_arb_cha_caravan_master	ovn_araby_fatandira
ovn_arb_cha_sheikh_0	ovn_araby_fatandira
ovn_arb_cha_sheikh_1	ovn_araby_fatandira
ovn_arb_cha_sheikh_2	ovn_araby_fatandira
ovn_arb_cha_sheikh_3	ovn_araby_fatandira
ovn_arb_cha_sheikh_mehmed_0	ovn_araby_fatandira
ovn_arb_cha_sheikh_mehmed_1	ovn_araby_fatandira
ovn_arb_cha_sheikh_mehmed_2	ovn_araby_fatandira
ovn_arb_cha_sheikh_mehmed_3	ovn_araby_fatandira
ovn_arb_cha_vizier_desert_0	ovn_araby_fatandira
ovn_arb_cha_vizier_desert_1	ovn_araby_fatandira
ovn_arb_cha_vizier_desert_2	ovn_araby_fatandira
ovn_arb_cha_vizier_desert_3	ovn_araby_fatandira
ovn_arb_cha_vizier_fire_0	ovn_araby_fatandira
ovn_arb_cha_vizier_fire_1	ovn_araby_fatandira
ovn_arb_cha_vizier_fire_2	ovn_araby_fatandira
ovn_arb_cha_vizier_fire_3	ovn_araby_fatandira
ovn_arb_cha_vizier_heavens_0	ovn_araby_fatandira
ovn_arb_cha_vizier_heavens_1	ovn_araby_fatandira
ovn_arb_cha_vizier_heavens_2	ovn_araby_fatandira
ovn_arb_cha_vizier_heavens_3	ovn_araby_fatandira
ovn_arb_cha_vizier_life_0	ovn_araby_fatandira
ovn_arb_cha_vizier_life_1	ovn_araby_fatandira
ovn_arb_cha_vizier_life_2	ovn_araby_fatandira
ovn_arb_cha_vizier_life_3	ovn_araby_fatandira
ovn_arb_cha_champion_0	ovn_araby_fatandira
ovn_arb_cha_champion_1	ovn_araby_fatandira
ovn_arb_cha_champion_2	ovn_araby_fatandira
ovn_arb_cha_champion_3	ovn_araby_fatandira
ovn_arb_cha_nomad_0	ovn_araby_fatandira
ovn_arb_cha_nomad_0_summoned	ovn_araby_fatandira
ovn_arb_cha_magician_desert_0	ovn_araby_fatandira
ovn_arb_cha_magician_desert_1	ovn_araby_fatandira
ovn_arb_cha_magician_desert_2	ovn_araby_fatandira
ovn_arb_cha_magician_fire_0	ovn_araby_fatandira
ovn_arb_cha_magician_fire_1	ovn_araby_fatandira
ovn_arb_cha_magician_fire_2	ovn_araby_fatandira
ovn_arb_cha_magician_heavens_0	ovn_araby_fatandira
ovn_arb_cha_magician_heavens_1	ovn_araby_fatandira
ovn_arb_cha_magician_heavens_2	ovn_araby_fatandira
ovn_arb_cha_magician_life_0	ovn_araby_fatandira
ovn_arb_cha_magician_life_1	ovn_araby_fatandira
ovn_arb_cha_magician_life_2	ovn_araby_fatandira
ovn_arb_inf_arabyan_warriors	ovn_araby_fatandira
ovn_arb_inf_arabyan_warriors_ror	ovn_araby_fatandira
ovn_arb_inf_arabyan_spearmen	ovn_araby_fatandira
ovn_arb_inf_arabyan_spearmen_summoned_0	ovn_araby_fatandira
ovn_arb_inf_arabyan_spearmen_summoned_1	ovn_araby_fatandira
ovn_arb_inf_arabyan_bowmen	ovn_araby_fatandira
ovn_arb_inf_naffatun_ror	ovn_araby_fatandira
ovn_arb_inf_arabyan_guard	ovn_araby_fatandira
ovn_arb_inf_arabyan_guard_ror	ovn_araby_fatandira
ovn_arb_inf_dervishers	ovn_araby_fatandira
ovn_arb_inf_southland_warriors	ovn_araby_fatandira
ovn_arb_inf_corsairs	ovn_araby_fatandira
ovn_arb_inf_alrahem_nomads	ovn_araby_fatandira
