special_ability_groups	unit_special_abilities
#special_ability_groups_to_unit_abilities_junctions_tables;1;db/special_ability_groups_to_unit_abilities_junctions_tables/ovn_araby_only	
ovn_lore_desert	ovn_lore_passive_blessing_of_the_elements
ovn_lore_desert	ovn_spell_desert_mirage
ovn_lore_desert	ovn_spell_desert_sunstrike
ovn_lore_desert	ovn_spell_desert_sandstorm
ovn_lore_desert	ovn_spell_desert_quicksand
ovn_lore_desert	ovn_spell_desert_burning_hands
ovn_lore_desert	ovn_spell_desert_curse_of_the_djinn
ovn_lore_desert_upgraded	ovn_spell_desert_mirage_upgraded
ovn_lore_desert_upgraded	ovn_spell_desert_sunstrike_upgraded
ovn_lore_desert_upgraded	ovn_spell_desert_sandstorm_upgraded
ovn_lore_desert_upgraded	ovn_spell_desert_quicksand_upgraded
ovn_lore_desert_upgraded	ovn_spell_desert_burning_hands_upgraded
ovn_lore_desert_upgraded	ovn_spell_desert_curse_of_the_djinn_upgraded
ovn_lore_golden_magus	wh_main_lore_passive_kindleflame
ovn_lore_golden_magus	wh_main_lore_passive_roiling_skies
ovn_lore_golden_magus	wh2_dlc11_lore_passive_kiss_of_the_deep
ovn_lore_golden_magus	wh_main_spell_heavens_harmonic_convergence
ovn_lore_golden_magus	wh2_dlc11_spell_deep_tidecall
ovn_lore_golden_magus	wh2_dlc11_spell_deep_denizens_of_the_deep
ovn_lore_golden_magus	wh_main_spell_fire_the_burning_head
ovn_lore_golden_magus	wh_main_spell_fire_piercing_bolts_of_burning
ovn_lore_golden_magus	wh_main_spell_heavens_chain_lightning
wh_main_lore_jaffar	wh_main_lore_passive_life_leeching
wh_main_lore_jaffar	wh_dlc05_lore_passive_smoke_and_mirrors
wh_main_lore_jaffar	wh_main_spell_death_spirit_leech
wh_main_lore_jaffar	ovn_spell_desert_burning_hands
wh_main_lore_jaffar	wh_main_spell_death_soulblight
wh_main_lore_jaffar	wh_dlc05_spell_shadow_the_penumbral_pendulum
wh_main_lore_jaffar	ovn_spell_desert_quicksand
wh_main_lore_jaffar	wh_dlc05_spell_shadow_pit_of_shades
ovn_djinn_carriage_shared_group	ovn_djinn_carriage_summon_desert_spirit
ovn_djinn_carriage_shared_group	ovn_djinn_carriage_summon_fire_efreet
ovn_djinn_carriage_shared_group	ovn_djinn_carriage_summon_sea_nymph
ovn_djinn_carriage_shared_group	ovn_djinn_carriage_summon_tempest_djinn
