template_key	unit_group_key	ratio
#cdir_military_generator_template_ratios_tables;0;db/cdir_military_generator_template_ratios_tables/ovn_araby_only		
OvN_Araby_land	wh3_default_land_artillery	2
OvN_Araby_land	wh3_default_land_melee_cavalry	3
OvN_Araby_land	wh3_default_land_melee_cavalry_main_mounted	1
OvN_Araby_land	wh3_default_land_ranged_cavalry_mounted	2
OvN_Araby_land	wh3_default_land_melee_infantry	5
OvN_Araby_land	wh3_default_land_melee_infantry_trash	2
OvN_Araby_land	wh3_default_land_ranged_infantry	3
OvN_Araby_land	wh3_default_land_characters	1
OvN_Araby_land	wh3_default_land_aura	1
OvN_Araby_land	wh3_default_land_monsters	1
OvN_Araby_land	wh3_default_land_monsters_heavy	3
OvN_Araby_land_leader_fatandira	wh3_default_land_artillery	1
OvN_Araby_land_leader_fatandira	wh3_default_land_melee_cavalry	3
OvN_Araby_land_leader_fatandira	wh3_default_land_melee_cavalry_main_mounted_heavy	1
OvN_Araby_land_leader_fatandira	wh3_default_land_ranged_cavalry_mounted	3
OvN_Araby_land_leader_fatandira	wh3_default_land_melee_infantry	5
OvN_Araby_land_leader_fatandira	wh3_default_land_melee_infantry_trash	0
OvN_Araby_land_leader_fatandira	wh3_default_land_ranged_infantry	3
OvN_Araby_land_leader_fatandira	wh3_default_land_characters	1
OvN_Araby_land_leader_fatandira	wh3_default_land_aura	1
OvN_Araby_land_leader_fatandira	wh3_default_land_monsters	1
OvN_Araby_land_leader_fatandira	wh3_default_land_ranged_cavalry_chariots	1
OvN_Araby_land_leader_golden_magus	wh3_default_land_artillery	3
OvN_Araby_land_leader_golden_magus	wh3_default_land_melee_cavalry	1
OvN_Araby_land_leader_golden_magus	wh3_default_land_melee_cavalry_main_mounted_heavy	1
OvN_Araby_land_leader_golden_magus	wh3_default_land_ranged_cavalry_mounted	1
OvN_Araby_land_leader_golden_magus	wh3_default_land_melee_infantry	4
OvN_Araby_land_leader_golden_magus	wh3_default_land_melee_infantry_trash	2
OvN_Araby_land_leader_golden_magus	wh3_default_land_ranged_infantry	3
OvN_Araby_land_leader_golden_magus	wh3_default_land_characters	1
OvN_Araby_land_leader_golden_magus	wh3_default_land_aura	1
OvN_Araby_land_leader_golden_magus	wh3_default_land_monsters	3
OvN_Araby_land_leader_jaffar	wh3_default_land_artillery	2
OvN_Araby_land_leader_jaffar	wh3_default_land_melee_cavalry	3
OvN_Araby_land_leader_jaffar	wh3_default_land_melee_cavalry_main_mounted_heavy	1
OvN_Araby_land_leader_jaffar	wh3_default_land_ranged_cavalry_mounted	2
OvN_Araby_land_leader_jaffar	wh3_default_land_melee_infantry	2
OvN_Araby_land_leader_jaffar	wh3_default_land_melee_infantry_trash	4
OvN_Araby_land_leader_jaffar	wh3_default_land_ranged_infantry	3
OvN_Araby_land_leader_jaffar	wh3_default_land_characters	1
OvN_Araby_land_leader_jaffar	wh3_default_land_aura	1
OvN_Araby_land_leader_jaffar	wh3_default_land_monsters	2
