faction_key	faction_group_key
#faction_to_faction_groups_junctions_tables;0;db/faction_to_faction_groups_junctions_tables/ovn_fimir_only	
ovn_fim_rancor_hold	ovn_fact_group_fimir
ovn_fim_tendrils_of_doom	ovn_fact_group_fimir
ovn_fim_marsh_hornets	ovn_fact_group_fimir
ovn_fim_mist_dragons	ovn_fact_group_fimir
mixer_fim_fimir_dummy	ovn_fact_group_fimir
ovn_fim_fimir_rebel	ovn_fact_group_fimir
ovn_fim_thunderous_sight	ovn_fact_group_fimir
ovn_fim_fen_serpents	ovn_fact_group_fimir
ovn_fim_hell_gate	ovn_fact_group_fimir
