battle_context_key	culture_key
#campaign_bonus_value_battle_context_culture_junctions_tables;0;db/campaign_bonus_value_battle_context_culture_junctions_tables/ovn_fimir_only	
fighting_culture_fimir	ovn_fimir
fighting_culture_forces_of_destruction	ovn_fimir
fighting_culture_corruption_inducing	ovn_fimir
fighting_culture_beastmen_chaos_daemons_norsca_chaos_dwarfs	ovn_fimir
fighting_culture_bretonnia_enemies	ovn_fimir
fighting_culture_daemons_chaos_chaos_dwarfs_norsca	ovn_fimir
fighting_culture_daemons_chaos_norsca_chaos_dwarfs	ovn_fimir
fighting_culture_beastmen_chaos_daemons_norsca_skaven_chaos_dwarfs	ovn_fimir
fighting_culture_beastmen_chaos_daemons_norsca	ovn_fimir
fighting_culture_beastmen_chaos_daemons_norsca_skaven	ovn_fimir
fighting_culture_daemons_chaos_norsca	ovn_fimir
fighting_culture_greenskins_daemons_chaos_norsca	ovn_fimir
