level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	only_in_capital	faction_unique	first_in_world_bundle	resource_requirement	can_convert	building_instance_key	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	can_be_damaged	primary_slot_building_building_level_requirement	audio_building_type	visible_in_ui	food_cost	slave_cap_contribution	resource_cost	additional_loot_value	resource_transaction_on_complete	split_chain_sort_order
#building_levels_tables;2;db/building_levels_tables/ovn_araby_only																									
ovn_arb_defence_norsca_1	ovn_arb_defence_norsca	0	2	2000	0		false	false			true	ovn_arb_defence_minor	false	0.0000	0	true	2		true	0	0		0		-1
ovn_arb_allied_outpost_1	ovn_arb_allied_outpost	0	3	2000	0		false	false			true	ovn_arb_allied_outpost	false	0.0000	0	true	1		true	0	0		0		-1
ovn_arb_allied_outpost_2	ovn_arb_allied_outpost	1	4	4000	0		false	false			true	ovn_arb_allied_outpost	false	0.0000	0	true	2		true	0	0		0		-1
ovn_arb_allied_outpost_3	ovn_arb_allied_outpost	2	5	6000	0		false	false			true	ovn_arb_allied_outpost	false	0.0000	0	true	3		true	0	0		0		-1
ovn_arb_settlement_major_1	ovn_arb_settlement_major	1	3	1000	0		false	false			true	ovn_arb_settlement_major	false	0.0000	0	true	0	wh3_cam_settlement_major_cathay	true	0	2000		0		-1
ovn_arb_settlement_major_2	ovn_arb_settlement_major	2	4	2000	0		false	false			true	ovn_arb_settlement_major	false	0.0000	1	true	0	wh3_cam_settlement_major_cathay	true	0	2500		0		-1
ovn_arb_settlement_major_3	ovn_arb_settlement_major	3	5	4000	0		false	false			true	ovn_arb_settlement_major	false	0.0000	2	true	0	wh3_cam_settlement_major_cathay	true	0	3500		0		-1
ovn_arb_settlement_major_4	ovn_arb_settlement_major	4	6	8000	0		false	false			true	ovn_arb_settlement_major	false	0.0000	4	true	0	wh3_cam_settlement_major_cathay	true	0	5000		0		-1
ovn_arb_settlement_major_5	ovn_arb_settlement_major	5	7	16000	0		false	false			true	ovn_arb_settlement_major	false	0.0000	5	true	0	wh3_cam_settlement_major_cathay	true	0	7000		0		-1
ovn_arb_settlement_major_ruin	ovn_arb_settlement_major	0	1	0	0		false	false			true	ovn_arb_settlement_major	false	0.0000	0	false	0	wh_cam_settlement_generic_ruin	true	0	0		0		-1
ovn_arb_settlement_minor_1	ovn_arb_settlement_minor	1	3	1000	0		false	false			true	ovn_arb_settlement_minor	false	0.0000	0	true	0	wh3_cam_settlement_minor_cathay	true	0	2000		0		-1
ovn_arb_settlement_minor_2	ovn_arb_settlement_minor	2	4	2000	0		false	false			true	ovn_arb_settlement_minor	false	0.0000	1	true	0	wh3_cam_settlement_minor_cathay	true	0	2500		0		-1
ovn_arb_settlement_minor_3	ovn_arb_settlement_minor	3	5	4000	0		false	false			true	ovn_arb_settlement_minor	false	0.0000	2	true	0	wh3_cam_settlement_minor_cathay	true	0	3500		0		-1
ovn_arb_settlement_minor_ruin	ovn_arb_settlement_minor	0	1	0	0		false	false			true	ovn_arb_settlement_minor	false	0.0000	0	false	0	wh_cam_settlement_generic_ruin	true	0	0		0		-1
ovn_arb_port_1	ovn_arb_port	1	2	1500	0		false	false			true	wh_main_HUMAN_port	false	0.0000	0	true	1	wh3_cam_settlement_cathay_port	true	0	0		0		-1
ovn_arb_port_2	ovn_arb_port	2	4	3000	0		false	false			true	wh_main_HUMAN_port	false	0.0000	0	true	3	wh3_cam_settlement_cathay_port	true	0	0		0		-1
ovn_arb_port_3	ovn_arb_port	3	6	6000	0		false	false			true	wh_main_HUMAN_port	false	0.0000	0	true	5	wh3_cam_settlement_cathay_port	true	0	0		0		-1
ovn_arb_port_ruin	ovn_arb_port	0	1	0	0		false	false			true	wh_main_HUMAN_port	false	0.0000	0	false	0	wh_cam_settlement_generic_ruin	true	0	0		0		-1
ovn_arb_city_barracks_1	ovn_arb_city_barracks	0	1	750	0		false	false			true	ovn_arb_city_barracks	false	0.0000	0	true	1		true	0	0		0		-1
ovn_arb_city_barracks_2	ovn_arb_city_barracks	1	2	1500	0		false	false			true	ovn_arb_city_barracks	false	0.0000	0	true	2		true	0	0		0		-1
ovn_arb_city_barracks_3	ovn_arb_city_barracks	2	3	2500	0		false	false			true	ovn_arb_city_barracks	false	0.0000	0	true	3		true	0	0		0		-1
ovn_arb_city_barracks_4	ovn_arb_city_barracks	3	4	4000	0		false	false			true	ovn_arb_city_barracks	false	0.0000	0	true	4		true	0	0		0		-1
ovn_arb_nomad_infantry_1	ovn_arb_nomad_infantry	0	2	1500	0		false	false			true	ovn_arb_nomad_infantry	false	0.0000	0	true	2		true	0	0		0		-1
ovn_arb_nomad_infantry_2	ovn_arb_nomad_infantry	1	3	2500	0		false	false			true	ovn_arb_nomad_infantry	false	0.0000	0	true	3		true	0	0		0		-1
ovn_arb_nomad_infantry_3	ovn_arb_nomad_infantry	2	4	3500	0		false	false			true	ovn_arb_nomad_infantry	false	0.0000	0	true	4		true	0	0		0		-1
ovn_arb_nomad_cavalry_1	ovn_arb_nomad_cavalry	0	1	750	0		false	false			true	ovn_arb_nomad_cavalry	false	0.0000	0	true	1		true	0	0		0		-1
ovn_arb_nomad_cavalry_2	ovn_arb_nomad_cavalry	1	2	1500	0		false	false			true	ovn_arb_nomad_cavalry	false	0.0000	0	true	2		true	0	0		0		-1
ovn_arb_nomad_cavalry_3	ovn_arb_nomad_cavalry	2	3	2500	0		false	false			true	ovn_arb_nomad_cavalry	false	0.0000	0	true	3		true	0	0		0		-1
ovn_arb_nomad_cavalry_4	ovn_arb_nomad_cavalry	3	4	4000	0		false	false			true	ovn_arb_nomad_cavalry	false	0.0000	0	true	4		true	0	0		0		-1
ovn_arb_djinn_1	ovn_arb_djinn	0	4	3000	0		false	false			true	ovn_arb_djinn	false	0.0000	0	true	3		true	0	0		0		-1
ovn_arb_djinn_2	ovn_arb_djinn	1	5	5000	0		false	false			true	ovn_arb_djinn	false	0.0000	0	true	4		true	0	0		0		-1
ovn_arb_djinn_3	ovn_arb_djinn	2	6	10000	0		false	false			true	ovn_arb_djinn	false	0.0000	0	true	5		true	0	0		0		-1
ovn_arb_elephants_1	ovn_arb_elephants	0	3	2000	0		false	false			true	ovn_arb_elephants	false	0.0000	0	true	3		true	0	0		0		-1
ovn_arb_elephants_2	ovn_arb_elephants	1	4	3000	0		false	false			true	ovn_arb_elephants	false	0.0000	0	true	4		true	0	0		0		-1
ovn_arb_artillery_1	ovn_arb_artillery	0	3	2000	0		false	false			true	ovn_arb_artillery	false	0.0000	0	true	2		true	0	0		0		-1
ovn_arb_artillery_2	ovn_arb_artillery	1	4	4000	0		false	false			true	ovn_arb_artillery	false	0.0000	0	true	4		true	0	0		0		-1
ovn_arb_artillery_3	ovn_arb_artillery	2	5	8000	0		false	false			true	ovn_arb_artillery	false	0.0000	0	true	5		true	0	0		0		-1
ovn_arb_defence_major_1	ovn_arb_defence_major	0	4	2000	0		false	false			true	ovn_arb_defence_major	false	0.0000	0	true	2		true	0	0		0		-1
ovn_arb_defence_major_2	ovn_arb_defence_major	1	5	4000	0		false	false			true	ovn_arb_defence_major	false	0.0000	0	true	3		true	0	0		0		-1
ovn_arb_defence_major_3	ovn_arb_defence_major	2	6	6000	0		false	false			true	ovn_arb_defence_major	false	0.0000	0	true	4		true	0	0		0		-1
ovn_arb_defence_minor_1	ovn_arb_defence_minor	0	4	2000	0		false	false			true	ovn_arb_defence_minor	false	0.0000	0	true	2		true	0	0		0		-1
ovn_arb_defence_minor_2	ovn_arb_defence_minor	1	5	4000	0		false	false			true	ovn_arb_defence_minor	false	0.0000	0	true	3		true	0	0		0		-1
ovn_arb_growth_1	ovn_arb_growth	0	1	500	0		false	false			true	ovn_arb_growth	false	0.0000	0	true	1		true	0	0		0		-1
ovn_arb_growth_2	ovn_arb_growth	1	2	1000	0		false	false			true	ovn_arb_growth	false	0.0000	0	true	2		true	0	0		0		-1
ovn_arb_growth_3	ovn_arb_growth	2	3	1500	0		false	false			true	ovn_arb_growth	false	0.0000	0	true	3		true	0	0		0		-1
ovn_arb_income_1	ovn_arb_income	0	1	500	0		false	false			true	ovn_arb_income	false	0.0000	0	true	1		true	0	0		0		-1
ovn_arb_income_2	ovn_arb_income	1	2	1000	0		false	false			true	ovn_arb_income	false	0.0000	0	true	2		true	0	0		0		-1
ovn_arb_income_3	ovn_arb_income	2	3	1500	0		false	false			true	ovn_arb_income	false	0.0000	0	true	3		true	0	0		0		-1
ovn_arb_order_1	ovn_arb_order	0	1	1000	0		false	false			true	ovn_arb_order	false	0.0000	0	true	1		true	0	0		0		-1
ovn_arb_order_2	ovn_arb_order	1	2	1500	0		false	false			true	ovn_arb_order	false	0.0000	0	true	2		true	0	0		0		-1
ovn_arb_order_3	ovn_arb_order	2	3	2000	0		false	false			true	ovn_arb_order	false	0.0000	0	true	3		true	0	0		0		-1
ovn_arb_slaves_1	ovn_arb_slaves	0	2	1500	0		false	false			true	ovn_arb_slaves	false	0.0000	0	true	1		true	0	0		0		-1
ovn_arb_slaves_2	ovn_arb_slaves	1	4	3000	0		false	false			true	ovn_arb_slaves	false	0.0000	0	true	3		true	0	0		0		-1
ovn_arb_healing_1	ovn_arb_healing	0	2	2000	0		false	false			true	ovn_arb_healing	false	0.0000	0	true	2		true	0	0		0		-1
ovn_arb_healing_2	ovn_arb_healing	1	4	4000	0		false	false			true	ovn_arb_healing	false	0.0000	0	true	4		true	0	0		0		-1
wh3_main_foreign_slot_discovery_arb_1	wh3_main_foreign_slot_discovery_arb	0	2	3000	0		false	false			true	wh2_main_foreign_slot_discovery	false	0.0000	0	true	2		true	0	0		0		-1
wh3_main_foreign_slot_discovery_arb_2	wh3_main_foreign_slot_discovery_arb	1	4	2000	0		false	false			true	wh2_main_foreign_slot_discovery	false	0.0000	0	true	3		true	0	0		0		-1
wh3_main_foreign_slot_discovery_arb_3	wh3_main_foreign_slot_discovery_arb	2	5	4000	0		false	false			true	wh2_main_foreign_slot_discovery	false	0.0000	0	true	4		true	0	0		0		-1
ovn_arb_nehekharan_excavation	ovn_arb_nehekharan_excavation	0	5	4000	0		false	false			true	ovn_arb_nehekharan_excavation	false	0.0000	0	true	3		true	0	0		0		-1
ovn_arb_special_settlement_al_haikk_1	ovn_arb_special_settlement_al_haikk	1	2	1000	0		false	false			true	ovn_arb_settlement_major	false	0.0000	0	true	0	wh3_cam_settlement_major_cathay	true	0	2000		0		-1
ovn_arb_special_settlement_al_haikk_2	ovn_arb_special_settlement_al_haikk	2	3	2000	0		false	false			true	ovn_arb_settlement_major	false	0.0000	1	true	0	wh3_cam_settlement_major_cathay	true	0	2500		0		-1
ovn_arb_special_settlement_al_haikk_3	ovn_arb_special_settlement_al_haikk	3	4	4000	0		false	false			true	ovn_arb_settlement_major	false	0.0000	2	true	0	wh3_cam_settlement_major_cathay	true	0	3500		0		-1
ovn_arb_special_settlement_al_haikk_4	ovn_arb_special_settlement_al_haikk	4	5	8000	0		false	false			true	ovn_arb_settlement_major	false	0.0000	4	true	0	wh3_cam_settlement_major_cathay	true	0	5000		0		-1
ovn_arb_special_settlement_al_haikk_5	ovn_arb_special_settlement_al_haikk	5	6	16000	0		false	false			true	ovn_arb_settlement_major	false	0.0000	5	true	0	wh3_cam_settlement_major_cathay	true	0	7000		0		-1
ovn_arb_special_settlement_al_haikk_ruin	ovn_arb_special_settlement_al_haikk	0	1	0	0		false	false			true	ovn_arb_settlement_major	false	0.0000	0	false	0	wh_cam_settlement_generic_ruin	true	0	0		0		-1
ovn_arb_defence_major_1_scythans	ovn_arb_defence_major_scythans	0	4	2000	0		false	false			true	ovn_arb_defence_major	false	0.0000	0	true	2		true	0	0		0		-1
ovn_arb_defence_major_2_scythans	ovn_arb_defence_major_scythans	1	5	4000	0		false	false			true	ovn_arb_defence_major	false	0.0000	0	true	3		true	0	0		0		-1
ovn_arb_defence_major_3_scythans	ovn_arb_defence_major_scythans	2	6	6000	0		false	false			true	ovn_arb_defence_major	false	0.0000	0	true	4		true	0	0		0		-1
ovn_arb_defence_minor_1_scythans	ovn_arb_defence_minor_scythans	0	4	2000	0		false	false			true	ovn_arb_defence_minor	false	0.0000	0	true	2		true	0	0		0		-1
ovn_arb_defence_minor_2_scythans	ovn_arb_defence_minor_scythans	1	5	4000	0		false	false			true	ovn_arb_defence_minor	false	0.0000	0	true	3		true	0	0		0		-1
ovn_arb_growth_1_scythans	ovn_arb_growth_scythans	0	1	500	0		false	false			true	ovn_arb_growth	false	0.0000	0	true	1		true	0	0		0		-1
ovn_arb_growth_2_scythans	ovn_arb_growth_scythans	1	2	1000	0		false	false			true	ovn_arb_growth	false	0.0000	0	true	2		true	0	0		0		-1
ovn_arb_growth_3_scythans	ovn_arb_growth_scythans	2	3	1500	0		false	false			true	ovn_arb_growth	false	0.0000	0	true	3		true	0	0		0		-1
ovn_arb_income_1_scythans	ovn_arb_income_scythans	0	1	500	0		false	false			true	ovn_arb_income	false	0.0000	0	true	1		true	0	0		0		-1
ovn_arb_income_2_scythans	ovn_arb_income_scythans	1	2	1000	0		false	false			true	ovn_arb_income	false	0.0000	0	true	2		true	0	0		0		-1
ovn_arb_income_3_scythans	ovn_arb_income_scythans	2	3	1500	0		false	false			true	ovn_arb_income	false	0.0000	0	true	3		true	0	0		0		-1
ovn_arb_order_1_scythans	ovn_arb_order_scythans	0	1	1000	0		false	false			true	ovn_arb_order	false	0.0000	0	true	1		true	0	0		0		-1
ovn_arb_order_2_scythans	ovn_arb_order_scythans	1	2	1500	0		false	false			true	ovn_arb_order	false	0.0000	0	true	2		true	0	0		0		-1
