invalid_usage_flag	special_ability
#special_ability_to_invalid_usage_flags_tables;0;db/special_ability_to_invalid_usage_flags_tables/ovn_araby_only	
climbing	ovn_hero_abilities_summon_genie
climbing	ovn_hero_abilities_summon_sea_nymph
climbing	ovn_hero_abilities_summon_desert_spirit
climbing	ovn_hero_abilities_summon_fire_efreet
climbing	ovn_hero_abilities_summon_tempest_djinn
climbing	ovn_spell_desert_mirage
climbing	ovn_spell_desert_mirage_upgraded
climbing	ovn_spell_desert_sunstrike_upgraded
climbing	ovn_spell_desert_sunstrike
manning_equipment	ovn_spell_desert_sunstrike_upgraded
manning_equipment	ovn_spell_desert_sunstrike
climbing	ovn_spell_bound_desert_sunstrike
manning_equipment	ovn_spell_bound_desert_sunstrike
climbing	ovn_spell_desert_sandstorm
climbing	ovn_spell_desert_sandstorm_upgraded
climbing	ovn_spell_desert_quicksand
climbing	ovn_spell_desert_quicksand_upgraded
climbing	ovn_spell_bound_desert_quicksand
manning_equipment	ovn_spell_bound_desert_quicksand
climbing	ovn_spell_desert_burning_hands
climbing	ovn_spell_desert_burning_hands_upgraded
manning_equipment	ovn_spell_desert_sandstorm
manning_equipment	ovn_spell_desert_sandstorm_upgraded
manning_equipment	ovn_spell_desert_quicksand
manning_equipment	ovn_spell_desert_quicksand_upgraded
climbing	roy_unit_active_arb_strike_from_the_shadows
engaged_in_melee	roy_unit_active_arb_strike_from_the_shadows
manning_equipment	roy_unit_active_arb_strike_from_the_shadows
climbing	roy_unit_active_arb_doppelgang
engaged_in_melee	roy_unit_active_arb_doppelgang
manning_equipment	roy_unit_active_arb_doppelgang
on_a_platform	roy_unit_active_arb_doppelgang
climbing	arb_golden_magus_master_djinn
phase_is_deployment	arb_golden_magus_master_djinn
grounded	ovn_unit_abilities_doomed_vulture
climbing	ovn_spell_bound_tempest_blizzard
manning_equipment	ovn_spell_bound_tempest_blizzard
climbing	ovn_spell_bound_desert_sandstorm
manning_equipment	ovn_spell_bound_desert_sandstorm
climbing	ovn_arb_efreet_asscannon
manning_equipment	ovn_arb_efreet_asscannon
engaged_in_melee	ovn_unit_abilities_air_skiff_broadside_right
phase_is_deployment	ovn_unit_abilities_air_skiff_broadside_right
morale_is_broken_or_lower	ovn_unit_abilities_air_skiff_broadside_right
engaged_in_melee	ovn_unit_abilities_air_skiff_broadside_left
phase_is_deployment	ovn_unit_abilities_air_skiff_broadside_left
morale_is_broken_or_lower	ovn_unit_abilities_air_skiff_broadside_left
climbing	ovn_arb_baz_ei_12_twilight_mirror_shard_ability
phase_is_deployment	ovn_arb_baz_ei_12_twilight_mirror_shard_ability
manning_equipment	arb_jaffar_to_djinn_transformation
on_a_platform	arb_jaffar_to_djinn_transformation
phase_is_deployment	arb_jaffar_to_djinn_transformation
phase_is_the_end_phase	arb_jaffar_to_djinn_transformation
manning_equipment	arb_djinn_to_jaffar_transformation
on_a_platform	arb_djinn_to_jaffar_transformation
manning_equipment	ovn_arb_baz_escape
on_a_platform	ovn_arb_baz_escape
cannot_perform_missile_attack	ovn_arb_grand_bombard_ror_sphere
