quote_person_key	quote_person_onscreen
#quotes_people_tables;0;db/quotes_people_tables/ovn_grudgebringers	
matthias	Matthias, Witch Hunter General
morgan_bernhardt	Morgan Bernhardt, Grudgebringers Commader
morgan_bernhardt2matthias	Morgan Bernhardt, Grudgebringers Commader and Matthias, Witch Hunter General
morgan_bernhardt2urblab_rotgut	Morgan Bernhardt, Grudgebringers Commader and Urblab Rotgut, Mercenary Ogres Leader
eusebio_the_bleak	Eusebio The Bleak, Flagellants Leader
eric_ragnar	Eric Ragnar, Wolves Leader
luther_flamestrike	Luther Flamestrike, Bright Wizard
klaus	Klaus, Grudgebringers Mentor to the mayor of Bogenhafen
gaston	Duke Gaston of Mortaine, Black Grail Leader
bernhardt2emperor	Emperor Karl Franz to Morgan Bernhardt, Grudgebringers Commader
morgan_bernhardt2eusebio_the_bleak	Morgan Bernhardt, Grudgebringers Commader and Eusebio The Bleak, Flagellants Leader
