battle_personality	land_unit	attach	riders_attachment_point	engine_articulation_index	jettison_rider
#land_units_to_battle_personalities_junctions_tables;2;db/land_units_to_battle_personalities_junctions_tables/ovn_araby_only					
ovn_arb_elephant_cannon	ovn_arb_mon_war_elephant_ror_2	autonomous_rider	ap_crewposition_0	-1	true
ovn_arb_elephant_cannon_rider1	ovn_arb_mon_war_elephant_ror_2	autonomous_rider	ap_crewposition_1	-1	true
ovn_arb_elephant_cannon_rider2	ovn_arb_mon_war_elephant_ror_2	autonomous_rider	ap_crewposition_2	-1	true
ovn_arb_cha_magician_life_camel	ovn_arb_cha_magician_life_1	autonomous_rider	ap_riderposition_0	-1	true
ovn_arb_cha_magician_fire_camel	ovn_arb_cha_magician_fire_1	autonomous_rider	ap_riderposition_0	-1	true
ovn_arb_cha_magician_desert_camel	ovn_arb_cha_magician_desert_1	autonomous_rider	ap_riderposition_0	-1	true
ovn_arb_cha_magician_heavens_camel	ovn_arb_cha_magician_heavens_1	autonomous_rider	ap_riderposition_0	-1	true
ovn_arb_cha_golden_magus_camel	ovn_arb_cha_golden_magus_1	autonomous_rider	ap_crewposition_0	-1	true
ovn_arb_cha_vizier_life_djinncarriage	ovn_arb_cha_vizier_life_3	autonomous_rider	ap_crewposition_0	-1	true
ovn_arb_djinn_carriage_rider_1	ovn_arb_cha_vizier_life_3	autonomous_rider	ap_crewposition_1	-1	true
ovn_arb_djinn_carriage_rider_2	ovn_arb_cha_vizier_life_3	autonomous_rider	ap_crewposition_2	-1	true
ovn_arb_djinn_carriage_rider_dummy	ovn_arb_cha_vizier_life_3	autonomous_rider	ap_crewposition_3	-1	true
ovn_arb_cha_vizier_desert_djinncarriage	ovn_arb_cha_vizier_desert_3	autonomous_rider	ap_crewposition_0	-1	true
ovn_arb_djinn_carriage_rider_1	ovn_arb_cha_vizier_desert_3	autonomous_rider	ap_crewposition_1	-1	true
ovn_arb_djinn_carriage_rider_2	ovn_arb_cha_vizier_desert_3	autonomous_rider	ap_crewposition_2	-1	true
ovn_arb_djinn_carriage_rider_dummy	ovn_arb_cha_vizier_desert_3	autonomous_rider	ap_crewposition_3	-1	true
ovn_arb_cha_vizier_fire_djinncarriage	ovn_arb_cha_vizier_fire_3	autonomous_rider	ap_crewposition_0	-1	true
ovn_arb_djinn_carriage_rider_1	ovn_arb_cha_vizier_fire_3	autonomous_rider	ap_crewposition_1	-1	true
ovn_arb_djinn_carriage_rider_2	ovn_arb_cha_vizier_fire_3	autonomous_rider	ap_crewposition_2	-1	true
ovn_arb_djinn_carriage_rider_dummy	ovn_arb_cha_vizier_fire_3	autonomous_rider	ap_crewposition_3	-1	true
ovn_arb_cha_vizier_heavens_djinncarriage	ovn_arb_cha_vizier_heavens_3	autonomous_rider	ap_crewposition_0	-1	true
ovn_arb_djinn_carriage_rider_1	ovn_arb_cha_vizier_heavens_3	autonomous_rider	ap_crewposition_1	-1	true
ovn_arb_djinn_carriage_rider_2	ovn_arb_cha_vizier_heavens_3	autonomous_rider	ap_crewposition_2	-1	true
