ancillary	required_skill	required_skill_level
#ancillaries_required_skills_tables;0;db/ancillaries_required_skills_tables/ovn_araby_only		
ovn_anc_mount_arb_magician_life_magic_carpet	ovn_skill_arb_magician_unique_magician_life_magic_carpet	1
ovn_anc_mount_arb_magician_life_djinn_vessel	ovn_skill_arb_magician_unique_magician_life_djinn_vessel	1
ovn_anc_mount_arb_magician_desert_magic_carpet	ovn_skill_arb_magician_unique_magician_desert_magic_carpet	1
ovn_anc_mount_arb_magician_desert_djinn_vessel	ovn_skill_arb_magician_unique_magician_desert_djinn_vessel	1
ovn_anc_mount_arb_magician_fire_magic_carpet	ovn_skill_arb_magician_unique_magician_fire_magic_carpet	1
ovn_anc_mount_arb_magician_fire_djinn_vessel	ovn_skill_arb_magician_unique_magician_fire_djinn_vessel	1
ovn_anc_mount_arb_magician_heavens_magic_carpet	ovn_skill_arb_magician_unique_magician_heavens_magic_carpet	1
ovn_anc_mount_arb_magician_heavens_djinn_vessel	ovn_skill_arb_magician_unique_magician_heavens_djinn_vessel	1
ovn_araby_Serpent_Staff	ovn_araby_Serpent_Staff	1
Black_Book_Of_Ibn_Naggazar	Black_Book_Of_Ibn_Naggazar	1
roy_anc_mount_arb_champion_horse	roy_skill_champion_mount_horse	1
roy_anc_mount_arb_champion_elephant	roy_skill_champion_mount_elephant	1
roy_anc_mount_arb_lord_horse	ovn_skill_arb_lord_mount_horse	1
roy_anc_mount_arb_caravan_master_horse	ovn_skill_arb_caravan_master_mount_horse	1
ovn_araby_sword	ovn_araby_sword	1
ovn_araby_helm	ovn_araby_helm	1
ovn_araby_talisman	ovn_araby_talisman	1
ovn_araby_Mount_Elephant	ovn_araby_Mount_Elephant	1
ovn_araby_rattlesnake_staff	ovn_araby_rattlesnake_staff	1
arb_fatandira_warhorse	arb_fatandira_anc_warhorse	1
arb_fatandira_roc	arb_fatandira_anc_roc	1
arb_fatandira_blades_demise	arb_fatandira_anc_blades_demise	1
arb_fatandira_scythan_armour	arb_fatandira_anc_scythan_armour	1
arb_golden_magus_camel_mount	arb_golden_magus_anc_camel	1
arb_golden_magus_djinnskiff_mount	arb_golden_magus_anc_djinskiff	1
wh_main_anc_mount_arb_vizier_fire_camel	arb_vizier_fire_camel	1
wh_main_anc_mount_arb_vizier_fire_carpet	arb_vizier_fire_magic_carpet	1
wh_main_anc_mount_arb_vizier_life_camel	arb_vizier_life_camel	1
wh_main_anc_mount_arb_vizier_life_carpet	arb_vizier_life_magic_carpet	1
wh_main_anc_mount_arb_vizier_heavens_camel	arb_vizier_heavens_camel	1
wh_main_anc_mount_arb_vizier_heavens_carpet	arb_vizier_heavens_magic_carpet	1
wh_main_anc_mount_arb_vizier_desert_camel	arb_vizier_desert_camel	1
wh_main_anc_mount_arb_vizier_desert_carpet	arb_vizier_desert_magic_carpet	1
roy_anc_mount_arb_lord_pegasus	roy_anc_mount_arb_lord_pegasus	1
roy_anc_mount_arb_champion_pegasus	roy_anc_mount_arb_champion_pegasus	1
roy_anc_mount_arb_champion_horse_wazar	roy_anc_mount_arb_champion_horse_wazar	1
roy_anc_mount_arb_champion_pegasus_wazar	roy_anc_mount_arb_champion_pegasus_wazar	1
roy_anc_mount_arb_champion_elephant_wazar	roy_anc_mount_arb_champion_elephant_wazar	1
arb_sheikh_mehmed_mount_horse	arb_sheikh_mehmed_mount_horse	1
arb_sheikh_mehmed_mount_pegasus	arb_sheikh_mehmed_mount_pegasus	1
arb_sheikh_mehmed_mount_elephant	arb_sheikh_mehmed_mount_elephant	1
