agent	faction	subtype	mod_disabled
#faction_agent_permitted_subtypes_tables;1;db/faction_agent_permitted_subtypes_tables/ovn_fimir_only			
colonel	ovn_fim_rancor_hold	aky_chief_fimir_great_weapons	false
colonel	ovn_fim_rancor_hold	fim_dirach_lord_beasts	false
colonel	ovn_fim_rancor_hold	fim_dirach_lord_death	false
colonel	ovn_fim_rancor_hold	fim_dirach_lord_fire	false
colonel	ovn_fim_rancor_hold	fim_dirach_lord_shadow	false
dignitary	ovn_fim_rancor_hold	wh_dlc08_nor_fimir_balefiend_fire	false
dignitary	ovn_fim_rancor_hold	wh_dlc08_nor_fimir_balefiend_shadow	false
general	ovn_fim_rancor_hold	aky_chief_fimir_great_weapons	false
wizard	ovn_fim_rancor_hold	elo_boglar_shaman	false
general	ovn_fim_rancor_hold	fim_meargh_skattach	false
dignitary	ovn_fim_rancor_hold	wh_dlc08_nor_cha_fimir_balefiend_death	false
dignitary	ovn_fim_rancor_hold	wh_dlc08_nor_cha_fimir_balefiend_beast	false
general	ovn_fim_rancor_hold	fim_dirach_lord_beasts	false
general	ovn_fim_rancor_hold	fim_dirach_lord_death	false
general	ovn_fim_rancor_hold	fim_dirach_lord_fire	false
general	ovn_fim_rancor_hold	fim_dirach_lord_shadow	false
champion	ovn_fim_rancor_hold	fim_finmor	false
colonel	ovn_fim_tendrils_of_doom	aky_chief_fimir_great_weapons_kroll	false
colonel	ovn_fim_tendrils_of_doom	fim_dirach_lord_beasts	false
colonel	ovn_fim_tendrils_of_doom	fim_dirach_lord_death	false
colonel	ovn_fim_tendrils_of_doom	fim_dirach_lord_fire	false
colonel	ovn_fim_tendrils_of_doom	fim_dirach_lord_shadow	false
dignitary	ovn_fim_tendrils_of_doom	wh_dlc08_nor_fimir_balefiend_fire	false
dignitary	ovn_fim_tendrils_of_doom	wh_dlc08_nor_fimir_balefiend_shadow	false
general	ovn_fim_tendrils_of_doom	aky_chief_fimir_great_weapons_kroll	false
wizard	ovn_fim_tendrils_of_doom	elo_boglar_shaman	false
general	ovn_fim_tendrils_of_doom	fim_daemon_octopus_kroll	false
dignitary	ovn_fim_tendrils_of_doom	wh_dlc08_nor_cha_fimir_balefiend_death	false
dignitary	ovn_fim_tendrils_of_doom	wh_dlc08_nor_cha_fimir_balefiend_beast	false
general	ovn_fim_tendrils_of_doom	fim_dirach_lord_beasts	false
general	ovn_fim_tendrils_of_doom	fim_dirach_lord_death	false
general	ovn_fim_tendrils_of_doom	fim_dirach_lord_fire	false
general	ovn_fim_tendrils_of_doom	fim_dirach_lord_shadow	false
champion	ovn_fim_tendrils_of_doom	fim_finmor_kroll	false
colonel	ovn_fim_mist_dragons	aky_chief_fimir_great_weapons	false
colonel	ovn_fim_mist_dragons	fim_dirach_lord_beasts	false
colonel	ovn_fim_mist_dragons	fim_dirach_lord_death	false
colonel	ovn_fim_mist_dragons	fim_dirach_lord_fire	false
colonel	ovn_fim_mist_dragons	fim_dirach_lord_shadow	false
dignitary	ovn_fim_mist_dragons	wh_dlc08_nor_fimir_balefiend_fire	false
dignitary	ovn_fim_mist_dragons	wh_dlc08_nor_fimir_balefiend_shadow	false
general	ovn_fim_mist_dragons	aky_chief_fimir_great_weapons	false
wizard	ovn_fim_mist_dragons	elo_boglar_shaman	false
dignitary	ovn_fim_mist_dragons	wh_dlc08_nor_cha_fimir_balefiend_death	false
dignitary	ovn_fim_mist_dragons	wh_dlc08_nor_cha_fimir_balefiend_beast	false
general	ovn_fim_mist_dragons	fim_dirach_lord_beasts	false
general	ovn_fim_mist_dragons	fim_dirach_lord_death	false
general	ovn_fim_mist_dragons	fim_dirach_lord_fire	false
general	ovn_fim_mist_dragons	fim_dirach_lord_shadow	false
champion	ovn_fim_mist_dragons	fim_finmor	false
colonel	ovn_fim_marsh_hornets	aky_chief_fimir_great_weapons	false
colonel	ovn_fim_marsh_hornets	fim_dirach_lord_beasts	false
colonel	ovn_fim_marsh_hornets	fim_dirach_lord_death	false
colonel	ovn_fim_marsh_hornets	fim_dirach_lord_fire	false
colonel	ovn_fim_marsh_hornets	fim_dirach_lord_shadow	false
dignitary	ovn_fim_marsh_hornets	wh_dlc08_nor_fimir_balefiend_fire	false
dignitary	ovn_fim_marsh_hornets	wh_dlc08_nor_fimir_balefiend_shadow	false
general	ovn_fim_marsh_hornets	aky_chief_fimir_great_weapons	false
wizard	ovn_fim_marsh_hornets	elo_boglar_shaman	false
dignitary	ovn_fim_marsh_hornets	wh_dlc08_nor_cha_fimir_balefiend_death	false
dignitary	ovn_fim_marsh_hornets	wh_dlc08_nor_cha_fimir_balefiend_beast	false
general	ovn_fim_marsh_hornets	fim_dirach_lord_beasts	false
general	ovn_fim_marsh_hornets	fim_dirach_lord_death	false
general	ovn_fim_marsh_hornets	fim_dirach_lord_fire	false
general	ovn_fim_marsh_hornets	fim_dirach_lord_shadow	false
champion	ovn_fim_marsh_hornets	fim_finmor	false
colonel	mixer_fim_fimir_dummy	aky_chief_fimir_great_weapons	false
colonel	mixer_fim_fimir_dummy	fim_dirach_lord_beasts	false
colonel	mixer_fim_fimir_dummy	fim_dirach_lord_death	false
colonel	mixer_fim_fimir_dummy	fim_dirach_lord_fire	false
colonel	mixer_fim_fimir_dummy	fim_dirach_lord_shadow	false
dignitary	mixer_fim_fimir_dummy	wh_dlc08_nor_fimir_balefiend_fire	false
dignitary	mixer_fim_fimir_dummy	wh_dlc08_nor_fimir_balefiend_shadow	false
general	mixer_fim_fimir_dummy	aky_chief_fimir_great_weapons	false
wizard	mixer_fim_fimir_dummy	elo_boglar_shaman	false
dignitary	mixer_fim_fimir_dummy	wh_dlc08_nor_cha_fimir_balefiend_death	false
dignitary	mixer_fim_fimir_dummy	wh_dlc08_nor_cha_fimir_balefiend_beast	false
general	mixer_fim_fimir_dummy	fim_dirach_lord_beasts	false
general	mixer_fim_fimir_dummy	fim_dirach_lord_death	false
general	mixer_fim_fimir_dummy	fim_dirach_lord_fire	false
general	mixer_fim_fimir_dummy	fim_dirach_lord_shadow	false
champion	mixer_fim_fimir_dummy	fim_finmor	false
colonel	ovn_fim_fimir_rebel	aky_chief_fimir_great_weapons	false
colonel	ovn_fim_fimir_rebel	fim_dirach_lord_beasts	false
colonel	ovn_fim_fimir_rebel	fim_dirach_lord_death	false
colonel	ovn_fim_fimir_rebel	fim_dirach_lord_fire	false
colonel	ovn_fim_fimir_rebel	fim_dirach_lord_shadow	false
dignitary	ovn_fim_fimir_rebel	wh_dlc08_nor_fimir_balefiend_fire	false
dignitary	ovn_fim_fimir_rebel	wh_dlc08_nor_fimir_balefiend_shadow	false
general	ovn_fim_fimir_rebel	aky_chief_fimir_great_weapons	false
