key	campaign_key	character_skill_key	faction_key	indent	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
#character_skill_nodes_tables;6;db/character_skill_nodes_tables/obo_grudgebringers_ceridan									
ovn_grudge_skill_node_hef_ceridan_generic_1		wh2_main_skill_hef_generic_speed_of_asuryan		0	3		0	0	true
ovn_grudge_skill_node_hef_ceridan_generic_2		wh2_main_skill_hef_generic_warding_of_loec		0	4		0	0	true
ovn_grudge_skill_node_hef_ceridan_generic_3		wh2_main_skill_hef_generic_warding_of_hoeth		0	5		0	0	true
ceridan_unique_1		ceridan_skaven_scourge		1	1		0	0	true
ceridan_unique_2		ceridan_natural_hunter		1	2		0	0	true
ceridan_unique_3		ceridan_lone_wolf		1	3		0	0	true
ovn_grudge_skill_node_hef_ceridan_combat_0		wh2_main_skill_hef_noble_unique_combat		2	0		0	0	true
ovn_grudge_skill_node_hef_ceridan_combat_1_1		wh2_main_skill_hef_combat_valour_of_ages		2	1		0	0	true
ovn_grudge_skill_node_hef_ceridan_combat_1_2		wh_main_skill_all_all_self_hard_to_hit		2	2		0	0	true
ovn_grudge_skill_node_hef_ceridan_combat_1_3		wh_main_skill_all_all_self_blade_master		2	3		0	0	true
ovn_grudge_skill_node_hef_ceridan_combat_1_4		wh_main_skill_all_all_self_indomitable		2	4		0	0	true
ovn_grudge_skill_node_hef_ceridan_combat_2		wh_main_skill_all_all_self_deadly_onslaught		2	5		0	4	true
ovn_grudge_skill_node_hef_ceridan_combat_3_1		wh_main_skill_all_all_self_wound-maker		2	6		0	0	true
ovn_grudge_skill_node_hef_ceridan_combat_3_2		wh_main_skill_all_lord_self_full_plate_armour		2	7		0	0	true
ovn_grudge_skill_node_hef_ceridan_combat_3_3		wh_main_skill_all_all_self_blade_shield		2	8		0	0	true
ovn_grudge_skill_node_hef_ceridan_combat_3_4		wh_dlc05_skill_wef_general_personal_buff_battle_speed		2	9		0	0	true
ovn_grudge_skill_node_hef_ceridan_combat_4		wh2_main_skill_hef_loremaster_unique_0		2	10		0	4	true
ovn_grudge_skill_node_hef_ceridan_campaign_01		rhox_grudge_ceridan_hero_assist_army_replenish_troops		5	0		0	0	true
ovn_grudge_skill_node_hef_ceridan_campaign_02		wh2_main_skill_all_hero_passive_spread_corruption		5	1		0	0	true
ovn_grudge_skill_node_hef_ceridan_campaign_04		wh2_main_skill_all_hero_hinder_agent_assassinate		5	3		0	0	true
ovn_grudge_skill_node_hef_ceridan_campaign_05		wh2_main_skill_all_hero_hinder_army_assault_units		5	4		0	0	true
ovn_grudge_skill_node_hef_ceridan_campaign_06		wh2_main_skill_all_hero_reduce_action_cost		5	5		0	0	true
ovn_grudge_skill_node_hef_ceridan_campaign_actions_dummy		rhox_dummy_all_action_ceridan		8	0		1	0	false
ovn_grudge_agent_action_scaling_ceridan		wh3_main_skill_agent_action_success_scaling		99	0		0	0	false
ovn_grudge_skill_hef_ceridan_dedication_hoeth		rhox_grudge_ceridan_dedication_asuryan		0	6		0	0	true
ceridan_innate		ceridan_innate		6	0		1	0	false
ovn_grudge_skill_hef_loremaster_unique_0_ceridan		wh2_main_skill_hef_loremaster_unique_0		0	2		0	0	true
ovn_grudge_skill_node_all_immortality_ceridan		wh2_main_skill_all_immortality_hero		0	7		0	0	true
ovn_grudge_ai_immortality_ceridan		rhox_ovn_grudgebringer_immortal_for_ai		90	0		0	0	false
ovn_grudge_skill_ceridan_ancillary		rhox_ovn_grudge_item_sword_of_eilor		0	1		0	0	true
ovn_grudge_skill_ceridan_eagle		ceridan_eagle		0	0		0	0	true
