key	campaign_key	character_skill_key	faction_key	indent	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
#character_skill_nodes_tables;6;db/character_skill_nodes_tables/rhox_grudgebringer_vlad									
ovn_grudge_skill_node_ksl_ice_mage_ice_generic_03		wh3_main_skill_ksl_all_unique_missile_resist		0	2		0	0	true
ovn_grudge_skill_node_ksl_ice_mage_ice_generic_04		wh3_main_skill_ksl_wizard_unique_guardian_call		0	3		0	0	true
vladimir_stormbringer_mount		vladimir_stormbringer_mount		0	1		0	0	true
ovn_grudge_skill_node_ksl_ice_mage_ice_unique_01		wh3_main_skill_ksl_frost_maiden_unique_01		1	1		0	0	true
ovn_grudge_skill_node_ksl_ice_mage_ice_unique_03		wh3_main_skill_ksl_frost_maiden_unique_03		1	2		0	0	true
ovn_grudge_skill_node_ksl_ice_mage_ice_unique_04		wh3_main_skill_ksl_frost_maiden_unique_04		1	3		0	0	true
ovn_grudge_skill_node_ksl_ice_mage_ice_unique_05		ovn_grudge_skill_ksl_frost_maiden_unique_04		1	4		0	0	true
ovn_grudge_skill_node_ksl_ice_mage_ice_magic_1_1		wh3_main_skill_ksl_magic_ice_05_frost_shield		2	1		0	0	true
ovn_grudge_skill_node_ksl_ice_mage_ice_magic_1_4		wh3_main_skill_ksl_magic_ice_04_death_frost_lord		2	4		0	0	true
ovn_grudge_skill_node_ksl_ice_mage_ice_magic_2		wh_main_skill_all_magic_all_06_evasion		2	6		0	4	true
ovn_grudge_skill_node_ksl_ice_mage_ice_magic_3_1		wh_main_skill_all_magic_all_07_earthing		2	9		0	0	true
ovn_grudge_skill_node_ksl_ice_mage_ice_magic_3_2		wh_main_skill_all_magic_all_08_power_drain		2	10		0	0	true
ovn_grudge_skill_node_ksl_ice_mage_ice_magic_3_3		wh3_main_skill_ksl_magic_ice_07_crystal_sanctuary_lord		2	7		0	0	true
ovn_grudge_skill_node_ksl_ice_mage_ice_magic_4		wh_main_skill_all_magic_all_11_arcane_conduit		2	11		0	4	true
ovn_grudge_skill_node_ksl_ice_mage_tempest_magic_0		wh3_main_skill_ksl_magic_tempest_01_hailstorm_lord		2	0		0	0	true
ovn_grudge_skill_node_ksl_ice_mage_tempest_magic_1_1		wh3_main_skill_ksl_magic_tempest_05_freezing_winds		2	5		0	0	true
ovn_grudge_skill_node_ksl_ice_mage_tempest_magic_1_2		wh3_main_skill_ksl_magic_tempest_02_gust_of_true_flight_lord		2	3		0	0	true
ovn_grudge_skill_node_ksl_ice_mage_tempest_magic_1_4		wh3_main_skill_ksl_magic_tempest_04_biting_wind_lord		2	2		0	0	true
ovn_grudge_skill_node_ksl_ice_mage_tempest_magic_3_3		wh3_main_skill_ksl_magic_tempest_07_blizzard_lord		2	8		0	0	true
ovn_grudge_skill_node_ksl_ice_mage_tempest_magic_dummy		wh3_main_skill_ksl_magic_tempest_dummy_hailstorm		3	11		1	0	false
ovn_grudge_skill_node_ksl_ice_mage_ice_campaign_01		wh2_main_skill_all_hero_assist_army_scouting		5	0		0	0	true
ovn_grudge_skill_node_ksl_ice_mage_ice_campaign_02		wh2_main_skill_all_hero_passive_spread_corruption		5	1		0	0	true
ovn_grudge_skill_node_ksl_ice_mage_ice_campaign_03		wh2_main_skill_all_hero_hinder_settlement_steal_technology		5	2		0	0	true
ovn_grudge_skill_node_ksl_ice_mage_ice_campaign_04		wh2_main_skill_all_hero_hinder_agent_wound		5	3		0	0	true
ovn_grudge_skill_node_ksl_ice_mage_ice_campaign_05		wh2_main_skill_all_hero_hinder_army_assault_unit		5	4		0	0	true
ovn_grudge_skill_node_ksl_ice_mage_ice_campaign_06		wh2_main_skill_all_hero_reduce_action_cost		5	5		0	0	true
ovn_grudge_skill_node_ksl_ice_mage_ice_campaign_actions_dummy		rhox_dummy_all_action_vlad		8	0		1	0	false
ovn_grudge_agent_action_scaling_ice_mage_vladimir_stormbringer		wh3_main_skill_agent_action_success_scaling		99	0		0	0	false
ovn_grudge_skill_node_ksl_ice_mage_ice_immortality		wh2_main_skill_all_immortality_hero		0	4		0	0	true
ovn_grudge_vlad_innate		ovn_grudge_vlad_innate		98	0		1	0	false
ovn_grudge_skill_node_ksl_ice_mage_ice_unique_2_01		ovn_grudge_skill_ice_mage_unique_2_01		3	0		0	0	true
ovn_grudge_skill_node_ksl_ice_mage_ice_unique_2_02		ovn_grudge_skill_ice_mage_unique_2_02		3	1		0	1	true
ovn_grudge_skill_node_ksl_ice_mage_ice_unique_2_03		ovn_grudge_skill_ice_mage_unique_2_03		3	2		0	1	true
ovn_grudge_skill_node_ksl_ice_mage_ice_unique_2_04		ovn_grudge_skill_ice_mage_unique_2_04		3	3		0	1	true
ovn_grudge_skill_node_ksl_ice_mage_ice_unique_2_05		ovn_grudge_skill_ice_mage_unique_2_05		3	4		0	9	true
ovn_grudge_ai_immortality_ice_mage		rhox_ovn_grudgebringer_immortal_for_ai		90	0		0	0	false
