phase	stat	value	how
#special_ability_phase_stat_effects_tables;3;db/special_ability_phase_stat_effects_tables/ovn_trolls_only			
elo_reservoir_hammer	stat_melee_damage_ap	1.4	mult
elo_reservoir_hammer	stat_melee_damage_base	1.4	mult
elo_reservoir_hammer	scalar_splash_attack_power	2.0	mult
elo_trash_armour	stat_missile_block_chance	15.0	add
elo_trash_armour	stat_resistance_physical	10.0	add
elo_trash_armour	stat_melee_defence	5.0	add
elo_trash_armour	stat_armour	15.0	add
horrible_stench	stat_melee_attack	-6.0	add
horrible_stench	stat_melee_defence	-6.0	add
rock_solid	stat_resistance_magic	25.0	add
rock_solid	stat_resistance_physical	30.0	add
rock_solid	stat_morale	40.0	add
death_stench	stat_melee_attack	-8.0	add
death_stench	stat_morale	-8.0	add
death_stench	stat_melee_defence	-8.0	add
run_and_shakeoff	scalar_speed	1.24	mult
run_and_shakeoff	stat_charge_bonus	1.18	mult
run_and_shakeoff	stat_resistance_missile	50.0	add
order_protect	stat_resistance_all	15.0	add
order_squish	stat_melee_attack	8.0	add
order_squish	stat_bonus_vs_infantry	25.0	add
order_aim_higher	stat_melee_damage_ap	1.2	mult
order_aim_higher	stat_bonus_vs_large	25.0	add
order_catch	scalar_speed	1.3	mult
order_protect	stat_melee_defence	8.0	add
stunted_regeneration	stat_weakness_flame	-25.0	add
sickness_host	stat_morale	-10.0	add
sickness_host	stat_resistance_physical	-15.0	add
sickness_host	scalar_speed	0.7	mult
sickness_host	stat_resistance_magic	-15.0	add
temper_tantrum	stat_melee_attack	15.0	add
temper_tantrum	stat_melee_damage_ap	2.0	mult
temper_tantrum	stat_melee_damage_base	2.0	mult
temper_tantrum	stat_resistance_physical	15.0	add
warpstone_solid	stat_resistance_all	40.0	add
elo_so_hungry	stat_morale	40.0	add
troll_mocking_laughter	stat_morale	-8.0	add
contact_anchored	stat_melee_defence	-6.0	add
contact_anchored	scalar_speed	0.9	mult
elo_troll_me_boss_now	stat_morale	8.0	add
elo_violent_command	stat_melee_attack	5.0	add
elo_violent_command	stat_melee_damage_ap	1.15	mult
elo_violent_command	stat_melee_damage_base	1.15	mult
elo_those_are_tasty	scalar_speed	0.7	mult
elo_those_are_tasty	stat_melee_damage_ap	0.7	mult
elo_those_are_tasty	stat_melee_damage_base	0.7	mult
elo_contact_very_tasty	stat_morale	6.0	add
