unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	unique_index	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed
#main_units_tables;4;db/main_units_tables/ovn_trolls_only																																											
elo_carrion_gobbo_bow		-1	missile_infantry	1	false	elo_carrion_gobbo_bow	140	0	400	wh_main_shp_transport	1	1	140	400	89	light		0	68111110	false	wh_main_vo_culture_Goblin	missile_infantry_bow	2	false	grn_goblin_15_degrees		false		38.0	338.0	false	vo_culture_None	false	wh_main_vo_actor_Goblin_Infantry	0	true	false	6	false	false		0.0	true
elo_carrion_squig_hoppers		-1	melee_cavalry	1	false	elo_carrion_squig_hoppers	80	0	550	wh_main_shp_transport	1	1	80	550	150	medium		0	68111111	false	wh_main_vo_culture_Goblin	wh_dlc06_grn_squig_sword	3	false	grn_squig_hopper		false		650.0	0.0	false	vo_culture_None	false	wh_main_vo_actor_Goblin_Infantry	0	true	false	6	false	false		0.0	true
elo_carrion_gobbo_melee		-1	melee_infantry	1	false	elo_carrion_gobbo_melee	200	0	325	wh_main_shp_transport	1	1	200	325	80	light		0	68111112	false	wh_main_vo_culture_Goblin	infantry_sword	1	false	grn_goblin_15_degrees		false		300.0	0.0	false	vo_culture_None	false	wh_main_vo_actor_Goblin_Infantry	0	true	false	6	false	false		0.0	true
elo_night_trolls_ror		1	melee_infantry	1	false	elo_night_trolls_ror	16	1	2200	wh_main_shp_transport	1	1	16	2200	450	very_heavy		0	68111113	false	wh_main_vo_culture_Troll	monstrous_infantry	5	true	grn_troll		false		2200.0	0.0	true	vo_culture_None	true	wh_main_vo_actor_default	0	true	false	6	false	false		0.0	true
elo_armoured_icetrolls_erengrad		-1	monstrous_infantry	2	false	elo_armoured_icetrolls	16	0	1100	wh_main_shp_transport	1	1	16	1100	288	very_heavy		0	110787210	false	wh_main_vo_culture_Troll	monstrous_infantry	3	false	grn_troll		false		1200.0	0.0	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0	true
elo_river_trolls_erengrad		-1	monstrous_infantry	2	false	elo_river_trolls	16	0	850	wh_main_shp_transport	1	1	16	850	215	heavy		0	110787211	false	wh_main_vo_culture_Troll	monstrous_infantry	3	false	grn_troll		false		1100.0	0.0	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0	true
elo_mountain_trolls_erengrad		-1	monstrous_infantry	2	false	elo_mountain_trolls	16	0	1400	wh_main_shp_transport	1	1	16	1400	250	very_heavy		0	110787212	false	wh_main_vo_culture_Troll	monstrous_infantry	3	false	grn_troll		false		1000.0	0.0	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0	true
elo_forest_trolls_erengrad		-1	monstrous_infantry	1	false	elo_forest_trolls	20	0	900	wh_main_shp_transport	1	1	20	900	230	heavy		0	110787213	false	wh_main_vo_culture_Troll	monstrous_infantry	2	false	grn_troll		false		900.0	0.0	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0	true
elo_snow_troll_erengrad		-1	monstrous_infantry	2	false	elo_snow_troll	4	0	2000	wh_main_shp_transport	1	1	4	2000	320	very_heavy		0	110787214	false	wh_main_vo_culture_Troll	monstrous_infantry	5	true	grn_troll		false		2000.0	0.0	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0	true
wh2_dlc15_grn_mon_river_trolls_0_no_scrap		-1	monstrous_infantry	2	false	wh2_dlc15_grn_mon_river_trolls_0	16	0	900	wh_main_shp_transport	1	1	16	900	250	very_heavy		0	1285026888	true	wh_main_vo_culture_Troll	monstrous_infantry	3	false	grn_river_trolls		false		900.0	0.0	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0	true
wh2_dlc15_grn_mon_stone_trolls_0_no_scrap		-1	monstrous_infantry	2	false	wh2_dlc15_grn_mon_stone_trolls_0	16	0	1100	wh_main_shp_transport	1	1	16	1100	275	very_heavy		0	1609456476	true	wh_main_vo_culture_Troll	monstrous_infantry	3	false	grn_troll		false		1100.0	0.0	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0	true
elo_armoured_icetrolls		-1	monstrous_infantry	2	false	elo_armoured_icetrolls	16	0	1100	wh_main_shp_transport	1	1	16	1100	288	very_heavy		0	110787101	false	wh_main_vo_culture_Troll	monstrous_infantry	3	false	grn_troll		false		1200.0	0.0	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0	true
elo_southern_trolls		-1	monstrous_infantry	1	false	elo_southern_trolls	24	0	500	wh_main_shp_transport	1	1	24	625	150	medium		0	110787102	false	wh_main_vo_culture_Troll	monstrous_infantry	1	false	grn_troll		false		650.0	0.0	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0	true
elo_red_avalanche		1	monstrous_infantry	1	false	elo_red_avalanche	16	1	1900	wh_main_shp_transport	1	1	16	1900	325	very_heavy		0	110787103	false	wh_main_vo_culture_Troll	monstrous_infantry	5	true	grn_troll		false		1900.0	0.0	true	vo_culture_None	true	wh_main_vo_actor_default	0	false	false	1	false	false		0.0	true
