deactivate_flag	special_ability
#special_ability_to_auto_deactivate_flags_tables;0;db/special_ability_to_auto_deactivate_flags_tables/ovn_trolls_only	
health_below_50%_base	elo_trash_armour
morale_is_broken_or_lower	elo_trash_armour
health_below_25%	elo_special_treat
out_of_melee	burning_aura_of_ouch
health_below_50%_base	rock_solid
morale_is_broken_or_lower	rock_solid
engaged_in_melee	run_and_shakeoff
unit_is_not_in_forest	difficult_to_spot
enemies_in_intercept_range	difficult_to_spot
health_below_50%_base	warpstone_solid
morale_is_broken_or_lower	warpstone_solid
out_of_melee	troll_mocking_laughter
losing_melee_combat	troll_mocking_laughter
morale_is_broken_or_lower	troll_mocking_laughter
friendly_battle_leader_not_killed_or_routed	elo_troll_me_boss_now
