technology	effect	effect_scope	value
#technology_effects_junction_tables;0;db/technology_effects_junction_tables/ovn_troll_buildings			
tech_ovn_troll_1	elo_all_trolls_up	faction_to_force_own_unseen	-5.0
tech_ovn_troll_1	ovn_cost_trolls	faction_to_force_own_unseen	-10.0
tech_ovn_troll_2	elo_all_trolls_moral	faction_to_force_own_unseen	8.0
tech_ovn_troll_3	elo_all_trolls_ma	faction_to_force_own_unseen	10.0
tech_ovn_troll_4	elo_all_trolls_moral	faction_to_force_own_unseen	6.0
tech_ovn_troll_4	elo_all_trolls_mis_res	faction_to_force_own_unseen	6.0
tech_ovn_troll_4	elo_all_trolls_replen	faction_to_force_own_unseen	6.0
tech_ovn_troll_5	elo_all_trolls_mdef	faction_to_force_own_unseen	10.0
tech_ovn_troll_6	elo_all_trolls_replen	faction_to_force_own_unseen	20.0
tech_ovn_troll_7	wh_main_effect_economy_gdp_mod_all	faction_to_province_own	50.0
tech_ovn_troll_7	wh_main_effect_force_all_campaign_raid_income	faction_to_character_own	20.0
tech_ovn_troll_8	elo_all_trolls_mis_res	faction_to_force_own_unseen	5.0
tech_ovn_troll_9	elo_all_trolls_moral	faction_to_force_own_unseen	12.0
