key	active_time	recharge_time	num_uses	effect_range	affect_self	num_effected_friendly_units	num_effected_enemy_units	update_targets_every_frame	initial_recharge	activated_projectile	target_friends	target_enemies	target_ground	target_intercept_range	always_affect_self	only_affect_target	wind_up_time	passive	unique_id	bombardment	spawned_unit	wind_up_stance	mana_cost	min_range	targetting_aoe	passive_aoe	active_aoe	activation_effect	vortex	miscast_chance	miscast_explosion	ai_usage	audio	special_ability_display	voiceover_state	additional_melee_cp	additional_missile_cp	parent_ability	spawn_type	spawn_proxy_vfx	target_ground_under_allies	target_ground_under_enemies	miscast_global_bonus	target_self	composite_scene_group_on_wind_up	composite_scene_group_on_active	wind_down_stance	use_loop_stance	update_phase_by_ability_duration	spawn_is_transformation	spawn_is_decoy	only_affect_owned_units	formation	behaviour	current_mana_moves_to_reserve	spawn_shares_health_and_fatigue	affect_siege_equipment	shared_recharge_time	intensity_based_activation	autoresolver_usage	autoresolver_targets	display_stops_when_display_expires	autoresolve_cp_multiplier	ability_available_ui_event	can_be_copied_to_transformation_unit	audio_switch_casting_override	audio_switch_override	ai_usage_template_group
#unit_special_abilities_tables;70;db/unit_special_abilities_tables/ovn_trolls_only																																																																				
elo_sea_hag_ocean_breeze	36.0	28.0	-1	0.0	true	1	0	false	0.0		true	false	false	200.0	false	false	1.0	false	1315003641			cast_up_short	4.0	0.0	wh_abilities_generic_buff_no_ring	wh_abilities_generic_buff_no_ring				0.0		augment_ranged	wh2_dlc11_spell_deep_spiteful_shot	deep_short	vo_battle_special_ability_spell_cast_positive	33.0	67.0				false	false	true	true				false	false	false	false	false			false	false	true	-1.0	false	default	1	false	0.0		true			
elo_sea_hag_ocean_breeze_upgraded	72.0	28.0	-1	0.0	true	1	0	false	0.0		true	false	false	200.0	false	false	1.0	false	1315003642			cast_up_short	6.0	0.0	wh_abilities_generic_buff_no_ring	wh_abilities_generic_buff_no_ring				0.5	wh_main_generic_miscast	augment_ranged	wh2_dlc11_spell_deep_spiteful_shot_upgraded	deep_short	vo_battle_special_ability_spell_cast_positive	33.0	67.0				false	false	true	true				false	false	false	false	false			false	false	true	-1.0	false	default	1	false	0.0		true			
elo_sea_hag_call_children	3.0	43.0	2	0.0	false	1	0	false	0.0		true	false	true	60.0	false	false	3.0	false	1315003643		elo_sea_troll_summoned	cast_up_medium	12.0	0.0	wh_abilities_generic_spawn					0.0		threatened	wh2_dlc11_spell_deep_denizens_of_the_deep	deep_medium	vo_battle_special_ability_raise_dead	75.0	75.0			wh_main_targeting_pre_spawn_group_ui_central	false	false	true	true	wh2_dlc11_denizens_of_the_deep_start	wh2_dlc11_denizens_of_the_deep		false	false	false	false	false			false	false	true	-1.0	false	default	1	false	0.0		true			
elo_reservoir_hammer	40.0	80.0	-1	0.0	true	1	0	false	-1.0		false	false	false	0.0	false	false	0.0	false	1315003639				0.0	0.0	wh_abilities_generic_buff_active					0.0					vo_battle_special_ability_generic_response	350.0	14.0				false	false	true	false				false	false	false	false	false			false	false	true	-1.0	false	default	1	false	0.0		true			
elo_trash_armour	-1.0	-1.0	-1	0.0	true	1	0	false	-1.0		false	false	false	0.0	false	false	0.0	true	1315003640				0.0	0.0	wh_abilities_generic_buff					0.0					vo_battle_special_ability_generic_response	350.0	14.0				false	false	true	false				false	false	false	false	false			false	false	true	-1.0	false	default	1	false	0.0		true			
burn_troll_burn	-1.0	-1.0	-1	0.0	true	-1	0	true	-1.0		false	false	false	0.0	false	false	0.0	true	7878235				0.0	0.0						0.0					vo_battle_special_ability_generic_response	0.0	0.0				false	false	true	false				false	false	false	false	false			false	false	true	-1.0	false	default	1	false	0.0		true			
burning_aura_of_ouch	-1.0	-1.0	-1	20.0	false	0	-1	true	-1.0		false	false	false	0.0	false	false	0.0	true	7878236				0.0	0.0	wh_abilities_generic_debuff	wh_abilities_generic_debuff				0.0					vo_battle_special_ability_generic_response	122.0	122.0				false	false	true	false				false	false	false	false	false			false	false	true	-1.0	false	default	1	false	0.0		true			
horrible_stench	-1.0	-1.0	-1	20.0	false	0	-1	true	-1.0		false	false	false	0.0	false	false	0.0	true	7878222				0.0	0.0	wh_abilities_generic_debuff					0.0					vo_battle_special_ability_generic_response	246.0	14.0				false	false	true	false				false	false	false	false	false			false	false	true	-1.0	false	default	1	false	0.0		true			
rock_solid	-1.0	-1.0	-1	0.0	true	1	0	true	-1.0		false	false	false	0.0	false	false	0.0	true	7878223				0.0	0.0	wh_abilities_generic_buff					0.0					vo_battle_special_ability_generic_response	246.0	14.0				false	false	true	false				false	false	false	false	false			false	false	true	-1.0	false	default	1	false	0.0		true			
death_stench	-1.0	-1.0	-1	20.0	false	0	-1	true	-1.0		false	false	false	0.0	false	false	0.0	true	7878224				0.0	0.0	wh_abilities_generic_debuff					0.0					vo_battle_special_ability_generic_response	246.0	14.0				false	false	true	false				false	false	false	false	false			false	false	true	-1.0	false	default	1	false	0.0		true			
run_and_shakeoff	30.0	90.0	-1	-1.0	true	-1	0	false	0.0		false	false	false	0.0	false	false	0.0	false	7878225				0.0	0.0						0.0		augment_melee_area			vo_battle_special_ability_generic_response	160.0	0.0				false	false	true	false				false	false	false	false	false			false	false	true	-1.0	false	default	1	false	0.0		true			
