attribute	attribute_group
#unit_attributes_to_groups_junctions_tables;2;db/unit_attributes_to_groups_junctions_tables/ovn_trolls_only	
expendable	elo_carrion_gobbo_bow
hide_forest	elo_carrion_gobbo_bow
guerrilla_deploy	elo_carrion_gobbo_bow
expendable	elo_carrion_squig_hoppers
hide_forest	elo_carrion_squig_hoppers
guerrilla_deploy	elo_carrion_squig_hoppers
expendable	elo_carrion_gobbo_melee
hide_forest	elo_carrion_gobbo_melee
guerrilla_deploy	elo_carrion_gobbo_melee
hide_forest	elo_night_trolls_ror
causes_fear	elo_night_trolls_ror
causes_terror	elo_night_trolls_ror
moulder_monster	elo_night_trolls_ror
guerrilla_deploy	elo_night_trolls_ror
hide_forest	elo_armoured_icetrolls
causes_fear	elo_armoured_icetrolls
moulder_monster	elo_armoured_icetrolls
hide_forest	elo_southern_trolls
causes_fear	elo_southern_trolls
moulder_monster	elo_southern_trolls
hide_forest	elo_red_avalanche
causes_fear	elo_red_avalanche
causes_terror	elo_red_avalanche
moulder_monster	elo_red_avalanche
hide_forest	elo_river_trolls
causes_fear	elo_river_trolls
moulder_monster	elo_river_trolls
hide_forest	elo_mountain_trolls
causes_fear	elo_mountain_trolls
moulder_monster	elo_mountain_trolls
hide_forest	elo_shipwreckers
causes_fear	elo_shipwreckers
causes_terror	elo_shipwreckers
moulder_monster	elo_shipwreckers
hide_forest	elo_cha_troll_lord
causes_fear	elo_cha_troll_lord
encourages	elo_cha_troll_lord
moulder_monster	elo_kin
hide_forest	elo_kin
causes_fear	elo_kin
immune_to_psychology	elo_kin
causes_fear	elo_forest_trolls
guerrilla_deploy	elo_forest_trolls
moulder_monster	elo_forest_trolls
strider	elo_forest_trolls
hide_forest	elo_bile_trolls
causes_fear	elo_bile_trolls
moulder_monster	elo_bile_trolls
causes_terror	elo_bile_trolls
charge_reflection	elo_bile_trolls
hide_forest	elo_snow_troll
causes_fear	elo_snow_troll
moulder_monster	elo_snow_troll
hide_forest	ovn_trl_inf_stone_throw_troll
causes_fear	ovn_trl_inf_stone_throw_troll
moulder_monster	ovn_trl_inf_stone_throw_troll
hide_forest	elo_lava_trolls
causes_fear	elo_lava_trolls
moulder_monster	elo_lava_trolls
hide_forest	elo_warpstone_trolls
causes_fear	elo_warpstone_trolls
causes_terror	elo_warpstone_trolls
moulder_monster	elo_warpstone_trolls
hide_forest	elo_sea_troll
causes_fear	elo_sea_troll
causes_terror	elo_sea_troll
moulder_monster	elo_sea_troll
hide_forest	elo_troll_champ
causes_fear	elo_troll_champ
encourages	elo_troll_champ
hide_forest	elo_troll_giant
causes_fear	elo_troll_giant
causes_terror	elo_troll_giant
moulder_monster	elo_troll_giant
hide_forest	elo_carrion_boss
encourages	elo_carrion_boss
expendable	elo_carrion_boss
hide_forest	elo_carrion_boss_squig
encourages	elo_carrion_boss_squig
expendable	elo_carrion_boss_squig
immune_to_psychology	elo_carrion_boss_squig
guerrilla_deploy	elo_carrion_boss_squig
hide_forest	wh2_dlc15_grn_mon_river_trolls_0
causes_fear	wh2_dlc15_grn_mon_river_trolls_0
moulder_monster	wh2_dlc15_grn_mon_river_trolls_0
hide_forest	wh2_dlc15_grn_mon_river_trolls_ror_0
causes_fear	wh2_dlc15_grn_mon_river_trolls_ror_0
moulder_monster	wh2_dlc15_grn_mon_river_trolls_ror_0
causes_terror	wh2_dlc15_grn_mon_river_trolls_ror_0
hide_forest	wh2_dlc15_grn_mon_stone_trolls_0
causes_fear	wh2_dlc15_grn_mon_stone_trolls_0
moulder_monster	wh2_dlc15_grn_mon_stone_trolls_0
hide_forest	wh_dlc01_chs_mon_trolls_1
causes_fear	wh_dlc01_chs_mon_trolls_1
moulder_monster	wh_dlc01_chs_mon_trolls_1
hide_forest	wh_dlc08_nor_mon_norscan_ice_trolls_0
causes_fear	wh_dlc08_nor_mon_norscan_ice_trolls_0
moulder_monster	wh_dlc08_nor_mon_norscan_ice_trolls_0
hide_forest	wh_main_chs_mon_trolls
causes_fear	wh_main_chs_mon_trolls
moulder_monster	wh_main_chs_mon_trolls
hide_forest	wh_main_grn_mon_trolls
causes_fear	wh_main_grn_mon_trolls
moulder_monster	wh_main_grn_mon_trolls
hide_forest	wh_main_nor_mon_chaos_trolls
causes_fear	wh_main_nor_mon_chaos_trolls
moulder_monster	wh_main_nor_mon_chaos_trolls
hide_forest	elo_sea_hag
causes_fear	elo_sea_hag
encourages	elo_sea_hag
hide_forest	elo_sea_troll_summoned
causes_fear	elo_sea_troll_summoned
causes_terror	elo_sea_troll_summoned
hide_forest	elo_chief_ugma
causes_fear	elo_chief_ugma
encourages	elo_chief_ugma
