agent	faction	subtype
#faction_agent_permitted_subtypes_tables;0;db/faction_agent_permitted_subtypes_tables/ovn_trolls_only		
spy	ovn_troll_ugma_tribe	elo_carrion_boss
champion	ovn_troll_ugma_tribe	elo_troll_champ
colonel	ovn_troll_ugma_tribe	elo_cha_troll_lord
general	ovn_troll_ugma_tribe	elo_cha_troll_lord
colonel	wh2_main_rogue_troll_skullz	elo_cha_troll_lord
general	wh2_main_rogue_troll_skullz	elo_cha_troll_lord
general	ovn_troll_ugma_tribe	elo_chief_ugma
champion	wh2_main_rogue_troll_skullz	elo_troll_champ
spy	wh2_main_rogue_troll_skullz	elo_carrion_boss
