level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	only_in_capital	faction_unique	first_in_world_bundle	can_convert	building_instance_key	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	can_be_damaged	primary_slot_building_building_level_requirement	audio_building_type	visible_in_ui	food_cost	slave_cap_contribution	resource_cost	additional_loot_value
#building_levels_tables;0;db/building_levels_tables/ovn_troll_settlements																						
ovn_troll_settlement_major_1	ovn_troll_settlement_major	1	3	1000	0		false	false		true	ovn_troll_settlement_major	true	0.0	0	true	0	wh_cam_settlement_major_empire	true	0	0		0
ovn_troll_settlement_major_2	ovn_troll_settlement_major	2	4	2000	0		false	false		true	ovn_troll_settlement_major	true	0.0	1	true	0	wh_cam_settlement_major_empire	true	0	0		0
ovn_troll_settlement_major_3	ovn_troll_settlement_major	3	5	4000	0		false	false		true	ovn_troll_settlement_major	true	0.0	2	true	0	wh_cam_settlement_major_empire	true	0	0		0
ovn_troll_settlement_major_4	ovn_troll_settlement_major	4	6	8000	0		false	false		true	ovn_troll_settlement_major	true	0.0	4	true	0	wh_cam_settlement_major_empire	true	0	0		0
ovn_troll_settlement_major_5	ovn_troll_settlement_major	5	7	16000	0		false	false		true	ovn_troll_settlement_major	true	0.0	5	true	0	wh_cam_settlement_major_empire	true	0	0		0
ovn_troll_settlement_major_ruin	ovn_troll_settlement_major	0	1	0	0		false	false		true	ovn_troll_settlement_major	false	0.0	0	false	0	wh_cam_settlement_generic_ruin	true	0	0		0
ovn_troll_settlement_minor_1	ovn_troll_settlement_minor	1	3	1000	0		false	false		true	ovn_troll_settlement_minor	false	0.0	0	true	0	wh_cam_settlement_minor_empire	true	0	0		0
ovn_troll_settlement_minor_2	ovn_troll_settlement_minor	2	4	2000	0		false	false		true	ovn_troll_settlement_minor	false	0.0	1	true	0	wh_cam_settlement_minor_empire	true	0	0		0
ovn_troll_settlement_minor_3	ovn_troll_settlement_minor	3	5	4000	0		false	false		true	ovn_troll_settlement_minor	false	0.0	2	true	0	wh_cam_settlement_minor_empire	true	0	0		0
ovn_troll_settlement_minor_ruin	ovn_troll_settlement_minor	0	1	0	0		false	false		true	ovn_troll_settlement_minor	false	0.0	0	false	0	wh_cam_settlement_generic_ruin	true	0	0		0
