ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/ovn_trolls_only	
elo_sea_hag_ocean_breeze_upgraded	wh_main_spell_upgraded_duration
elo_sea_hag_call_children	wh_main_all_direct_damage_unbinding
elo_sea_hag_call_children	elo_summon_sea_trolls
elo_so_hungry	wh_dlc06_automatic
elo_so_hungry	wh_main_all_direct_damage_self_high
elo_so_hungry	troll_fodder_ui
elo_lesser_vomit	wh2_main_all_good_against_armour
elo_lesser_vomit	wh_main_all_strong_against_unit
elo_lesser_vomit	wh_main_projectile_powerful_explosion
elo_greater_swamp_breath	wh2_main_all_good_against_armour
elo_greater_swamp_breath	wh_main_all_strong_against_unit
elo_greater_swamp_breath	wh_main_projectile_powerful_explosion
elo_violent_command	deals_damage_to_friendly
elo_special_treat	wh_main_all_replenish_burst
elo_special_treat	unit_kills_itself
