level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	only_in_capital	faction_unique	first_in_world_bundle	can_convert	building_instance_key	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	can_be_damaged	primary_slot_building_building_level_requirement	audio_building_type	visible_in_ui	food_cost	slave_cap_contribution	resource_cost	additional_loot_value
#building_levels_tables;0;db/building_levels_tables/ovn_troll_buildings																						
ovn_troll_Wyvern	ovn_troll_Wyvern	0	4	8000	0		false	false		false	ovn_troll_Wyvern	false	0.0	0	true	4		true	0	0		0
ovn_troll_Bridges	ovn_troll_Bridges	0	2	2500	0		false	false		false	ovn_troll_Bridges	false	0.0	0	true	2		true	0	0		0
ovn_troll_offerings_1	ovn_troll_offerings	0	2	2000	0		false	false		false	ovn_troll_offerings	false	0.0	0	true	2		true	0	0		0
ovn_troll_outpost_stables_1	ovn_troll_outpost_stables	0	1	500	0		false	false		false	ovn_troll_outpost_stables	false	0.0	0	true	1		true	0	0		0
ovn_troll_outpost_stables_2	ovn_troll_outpost_stables	1	2	1000	0		false	false		false	ovn_troll_outpost_stables	false	0.0	0	true	2		true	0	0		0
ovn_troll_outpost_stables_3	ovn_troll_outpost_stables	2	3	1500	0		false	false		false	ovn_troll_outpost_stables	false	0.0	0	true	3		true	0	0		0
ovn_troll_worship_1	ovn_troll_worship	1	2	500	0		false	false		false	ovn_troll_worship	false	0.0	0	true	2		true	0	0		0
ovn_troll_worship_0	ovn_troll_worship	0	1	100	0		false	false		false	ovn_troll_worship	false	0.0	0	true	1		true	0	0		0
elo_troll_1	elo_troll	0	1	1500	0		false	false		false	elo_troll	false	0.0	0	true	1		true	0	0		0
elo_troll_2	elo_troll	1	3	3000	0		false	false		false	elo_troll	false	0.0	0	true	3		true	0	0		0
elo_troll_3	elo_troll	2	4	5000	0		false	false		false	elo_troll	false	0.0	0	true	4		true	0	0		0
ovn_grn_agent	ovn_grn_agent	0	1	2200	0		false	false		false	ovn_grn_agent	false	0.0	0	true	2		true	0	0		0
