ancillary	effect	effect_scope	value
#ancillary_to_effects_tables;0;db/ancillary_to_effects_tables/ovn_trolls_only			
anc_adventurer_trinkets	wh_main_effect_character_stat_magic_resistance	character_to_character_own	10.0
anc_adventurer_trinkets	wh_main_effect_force_all_campaign_upkeep	general_to_force_own	-10.0
anc_adventurer_trinkets	wh_main_effect_character_stat_fire_resistance	character_to_character_own	5.0
anc_adventurer_trinkets	wh2_main_effect_character_stat_enable_discourage_attacks	character_to_character_own	1.0
anc_adventurer_trinkets	wh_main_effect_character_stat_armour	character_to_character_own	15.0
anc_adventurer_trinkets	elo_trash_armour	character_to_character_own	1.0
anc_resevoir_stone	wh_main_effect_character_stat_weapon_strength	character_to_character_own	15.0
anc_resevoir_stone	wh_main_effect_character_stat_ap_damage	character_to_character_own	20.0
anc_resevoir_stone	wh_main_effect_character_stat_melee_attack	character_to_character_own	10.0
anc_resevoir_stone	elo_reservoir_hammer	character_to_character_own	1.0
