from	to
#building_downgrade_junctions_tables;0;db/building_downgrade_junctions_tables/ovn_troll_settlements	
ovn_troll_settlement_major_1	ovn_troll_settlement_major_1
ovn_troll_settlement_major_2	ovn_troll_settlement_major_2
ovn_troll_settlement_major_3	ovn_troll_settlement_major_3
ovn_troll_settlement_major_4	ovn_troll_settlement_major_4
ovn_troll_settlement_major_5	ovn_troll_settlement_major_5
ovn_troll_settlement_major_ruin	ovn_troll_settlement_major_ruin
ovn_troll_settlement_minor_1	ovn_troll_settlement_minor_1
ovn_troll_settlement_minor_2	ovn_troll_settlement_minor_2
ovn_troll_settlement_minor_3	ovn_troll_settlement_minor_3
ovn_troll_settlement_minor_ruin	ovn_troll_settlement_minor_ruin
