building	culture	subculture	faction	description	icon	disables	short_description	display_tooltip
#building_culture_variants_tables;4;db/building_culture_variants_tables/ovn_troll_buildings								
ovn_troll_Bridges			wh3_main_kho_exiles_of_khorne	wh_main_PLACEHOLDER	wh2_main_emp_roads	false	ovn_troll_inc1	true
ovn_troll_Wyvern			wh3_main_kho_exiles_of_khorne	wh_main_PLACEHOLDER	wh_main_special_greenskin_vandalisation_5	false	ovn_troll_Wyvern	true
ovn_troll_offerings_1			wh3_main_kho_exiles_of_khorne	wh_main_PLACEHOLDER	greenskins_shaman	false	ovn_troll_offer	true
ovn_troll_outpost_stables_1			wh3_main_kho_exiles_of_khorne	wh_main_PLACEHOLDER	chaos_trolls	false	ovn_troll_mil1b	true
ovn_troll_outpost_stables_2			wh3_main_kho_exiles_of_khorne	wh_main_PLACEHOLDER	chaos_trolls	false	ovn_troll_mil2b	true
ovn_troll_outpost_stables_3			wh3_main_kho_exiles_of_khorne	wh_main_PLACEHOLDER	chaos_trolls	false	ovn_troll_mil3b	true
ovn_troll_worship_0			wh3_main_kho_exiles_of_khorne	wh_main_PLACEHOLDER	wh_main_special_greenskin_vandalisation_2	false	ovn_troll_po_b	true
ovn_troll_worship_1			wh3_main_kho_exiles_of_khorne	wh_main_PLACEHOLDER	wh_main_special_greenskin_vandalisation_4	false	ovn_troll_po_a	true
elo_troll_1			wh3_main_kho_exiles_of_khorne	wh_main_PLACEHOLDER	chaos_worship	false	ovn_troll_mil1	true
elo_troll_2			wh3_main_kho_exiles_of_khorne	wh_main_PLACEHOLDER	chaos_worship	false	ovn_troll_mil2	true
elo_troll_3			wh3_main_kho_exiles_of_khorne	wh_main_PLACEHOLDER	chaos_worship	false	ovn_troll_mil3	true
ovn_grn_agent			wh3_main_kho_exiles_of_khorne	wh_main_PLACEHOLDER	greenskins_savage_orcs	false	ovn_grn_agent	true
