key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/ovn_trolls_only																			
sea_troll_anchor	20	0	40	120	3.0	axe	club_huge	large	4	1.0	1.0	0.0	false	contact_anchored	0	10	4.0		false
elo_troll_1h_weapon	0	0	175	350	2.0	axe	club_huge	large	6	1.0	1.0	0.0	false		0	10	4.0		false
wh_main_club_giant_troll	0	0	150	450	8.0	axe	club_huge	large	14	2.0	1.0	0.0	false		0	10	4.0		false
goblin_hero_bone_dual	0	0	350	50	3.0	sword	sword	medium	4	1.0	1.0	0.0	false	wh_main_unit_contact_poison	0	10	4.0		false
carrion_squig_hero_bone	0	25	140	260	3.0	spear	spear	medium	8	1.0	1.0	0.0	false	wh_main_unit_contact_poison	0	10	4.0		false
elo_river_troll_club	15	0	50	40	2.0	axe	club_medium	medium	4	1.0	1.0	0.0	false	wh_main_unit_contact_poison	0	10	3.8		false
elo_shipwreckers_club	30	0	40	70	2.0	axe	club_medium	medium	4	1.0	1.0	0.0	false	wh_main_unit_contact_poison	0	10	3.8		false
elo_troll_lord_club	0	28	115	350	2.0	axe	club_huge	large	6	1.0	1.0	0.0	false		0	10	4.0		false
forest_club	0	15	60	20	2.0	axe	club_medium	medium	6	1.0	1.0	0.0	false		0	10	3.8		false
bile_trolls_claws	0	0	100	31	2.0	sword	claw	medium	6	1.0	1.0	0.0	false	wh_main_unit_contact_poison	0	10	3.8		false
snow_troll_hammer	35	0	45	225	3.0	axe	club_huge	large	4	1.0	1.0	0.0	false	wh_dlc08_unit_contact_frostbite	0	10	4.0		false
ugma_club	0	0	200	250	2.0	axe	club_huge	large	6	1.0	1.0	0.0	false	wh_main_unit_contact_poison	0	10	4.0		false
chaos_stone_troll_club	0	20	44	58	2.0	axe	club_medium	medium	4	1.0	1.0	0.0	false		0	10	4.0		false
warpstone_club	0	20	44	58	2.0	axe	club_medium	medium	4	1.0	1.0	0.0	true	wh2_main_unit_contact_plague_monk_censer_morale	0	10	4.0		false
carrion_gobbo_bone	0	0	20	3	1.0	sword	sword		1	1.0	1.0	0.0	false		0	10	4.6		false
bonethrower_bone	0	0	40	30	2.0	axe	club_medium	medium	4	1.0	1.0	0.0	false		0	10	3.8		false
lava_molten_club	0	0	30	80	2.0	axe	club_medium	medium	4	1.0	1.0	10.0	false		0	10	3.8		false
night_troll_greataxe	0	0	50	100	2.0	axe	axe_huge	medium	4	1.0	1.0	0.0	false		0	10	4.0		false
sea_hag_net_staff	15	0	135	225	2.0	axe	club_huge	large	6	1.0	1.0	0.0	false	contact_anchored	0	10	4.0		false
