attribute	phase	attribute_type
#special_ability_phase_attribute_effects_tables;1;db/special_ability_phase_attribute_effects_tables/ovn_araby_only		
immune_to_psychology	arb_jaffar_aura_will	positive
stalk	roy_phase_active_arb_strike_from_the_shadows	positive
unspottable	roy_phase_active_arb_strike_from_the_shadows	positive
snipe	roy_phase_active_arb_strike_from_the_shadows	positive
unspottable	roy_phase_active_arb_doppelgang	positive
stalk	arb_fatandira_desert_feint	positive
unspottable	arb_fatandira_desert_feint	positive
immune_to_psychology	ovn_arb_passive_impetuous_charge	positive
causes_fear	arb_guard_ror_jaffar_elite	positive
stalk	ovn_arb_baz_escape	positive
unspottable	ovn_arb_baz_escape	positive
