character_item	character_name
#battle_set_piece_armies_characters_items_tables;0;db/battle_set_piece_armies_characters_items_tables/ovn_grudgebringers_only	
grudge_item_grudgebringer_sword	morgan_bernhardt
grudge_item_enchanted_shield	morgan_bernhardt
grudge_item_grudgebringer_sword	morgan_bernhardt_mount
grudge_item_enchanted_shield	morgan_bernhardt_mount
wh2_main_anc_armour_armour_of_the_stars	ceridan
wh_main_anc_enchanted_item_potion_of_strength	gaston_mount
wh_main_anc_enchanted_item_potion_of_strength	gaston
wh_main_anc_weapon_skabscrath	gaston_mount
wh_main_anc_weapon_skabscrath	gaston
wh3_main_anc_arcane_item_snowflake_pendant	ice_mage_vladimir_stormbringer
wh3_main_anc_armour_iron_ice_armour	ice_mage_vladimir_stormbringer
wh3_main_anc_arcane_item_snowflake_pendant	ice_mage_vladimir_stormbringer_mount
wh3_main_anc_armour_iron_ice_armour	ice_mage_vladimir_stormbringer_mount
wh2_dlc10_dwf_anc_talisman_ironbeards_ring	dwarf_envoy
wh_main_anc_enchanted_item_silver_horn_of_vengeance	dwarf_envoy
wh_main_anc_rune_master_rune_of_dismay	dwarf_envoy
wh2_dlc10_anc_arcane_item_scroll_of_blast	luther_flamenstrike
wh_main_anc_arcane_item_power_stone	luther_flamenstrike
wh2_dlc10_anc_arcane_item_scroll_of_blast	luther_flamenstrike_mount
wh_main_anc_arcane_item_power_stone	luther_flamenstrike_mount
grudge_item_sword_of_eilor	ceridan
grudge_anc_rune_rune_of_fury	dwarf_envoy
grudge_anc_rune_rune_of_might	dwarf_envoy
grudge_anc_rune_rune_of_parrying	dwarf_envoy
grudge_anc_rune_rune_of_striking	dwarf_envoy
wh2_dlc10_anc_arcane_item_scroll_of_blast	allor
wh_main_anc_arcane_item_power_stone	allor
