key	requires_effect_enabling	icon_name	overpower_option	type	video	uniqueness	is_unit_upgrade	is_hidden_in_ui	source_type	superseded_abilities_set	is_hidden_in_ui_for_enemy
#unit_abilities_tables;17;db/unit_abilities_tables/ovn_araby_only											
arb_fatandira_aimed_shot	true	arb_fatandira_aimed_shot		wh_type_magic_missile		wh_main_anc_group_rare	true	false	active		false
arb_fatandira_desert_feint	true	arb_fatandira_sand_feint		wh_type_area_of_augments		wh_main_anc_group_rare	true	false	active		false
arb_golden_magus_master_djinn	true	arb_golden_magus_master_djinn		wh_type_summon_unit		wh_main_anc_group_rare	true	false	active		false
arb_golden_magus_mistral	false	wh_main_spell_heavens_wind_blast		wh_type_area_of_augments		wh_main_anc_group_uncommon	false	false	passive		false
arb_golden_magus_scirocco	false	wh2_dlc09_lord_abilities_sand_storm		wh_type_area_of_hexes		wh_main_anc_group_uncommon	false	false	passive		false
arb_golden_magus_wrath_djinn_passive	false	arb_golden_magus_wrath_djinn		wh_type_hex		wh_main_anc_group_rare	false	false	passive		false
arb_jaffar_aura_will	true	arb_jaffar_aura_will		wh_type_area_of_augments		wh_main_anc_group_rare	true	false	passive		false
blood_howl	false	wh_main_mount_passive_bloodroar		wh_type_augment		wh_main_anc_group_common	false	false	passive		false
ovn_hero_abilities_summon_genie	false	arb_golden_magus_master_djinn		wh_type_summon_unit		wh_main_anc_group_rare	false	false	active		false
ovn_hero_abilities_summon_desert_spirit	false	ovn_summon_desert_spirit		wh_type_summon_unit		wh_main_anc_group_rare	false	false	active		false
ovn_hero_abilities_summon_fire_efreet	false	ovn_summon_fire_efreet		wh_type_summon_unit		wh_main_anc_group_rare	false	false	active		false
ovn_hero_abilities_summon_sea_nymph	false	ovn_summon_sea_nymph		wh_type_summon_unit		wh_main_anc_group_rare	false	false	active		false
ovn_hero_abilities_summon_tempest_djinn	false	ovn_summon_tempest_djinn		wh_type_summon_unit		wh_main_anc_group_rare	false	false	active		false
ovn_unit_passive_unbinding_arb_spearmen_mirage	false	unbinding		wh_type_direct_damage		wh_main_anc_group_common	false	false	passive		false
ovn_unit_passive_unbinding_arb_spearmen_mirage_upgraded	false	unbinding		wh_type_direct_damage		wh_main_anc_group_common	false	false	passive		false
ovn_unit_passive_unbinding_djinn	false	unbinding		wh_type_direct_damage		wh_main_anc_group_common	false	false	passive		false
ovn_unit_passive_unbinding_ovn_arb_cha_nomad_0	false	unbinding		wh_type_direct_damage		wh_main_anc_group_common	false	false	passive		false
roy_unit_active_arb_doppelgang	true	wh2_dlc14_unit_abilities_doppelgang		wh_type_hiding		wh_main_anc_group_uncommon	true	false	active		false
roy_unit_active_arb_strike_from_the_shadows	true	wh_dlc06_unit_abilities_smoke_bomb		wh_type_hiding		wh_main_anc_group_uncommon	true	false	active		false
ovn_spell_desert_mirage	true	ovn_spell_desert_mirage	ovn_spell_desert_mirage_upgraded	wh_type_summon_unit	spell_previews/heaven/wh_main_spell_heavens_harmonic_convergence	wh_main_anc_group_common	true	false	spell		false
ovn_spell_desert_mirage_upgraded	true	ovn_spell_desert_mirage		wh_type_summon_unit	spell_previews/heaven/wh_main_spell_heavens_harmonic_convergence	wh_main_anc_group_common	true	false	spell		false
ovn_spell_bound_desert_sunstrike	false	ovn_spell_desert_sunstrike		wh_type_magic_missiles		wh_main_anc_group_uncommon	true	false	active		false
ovn_spell_desert_sunstrike	true	ovn_spell_desert_sunstrike	ovn_spell_desert_sunstrike_upgraded	wh_type_magic_missiles	spell_previews/beast/wh_dlc03_spell_beast_the_amber_spear	wh_main_anc_group_uncommon	true	false	spell		false
ovn_spell_desert_sunstrike_upgraded	true	ovn_spell_desert_sunstrike		wh_type_magic_missiles	spell_previews/beast/wh_dlc03_spell_beast_the_amber_spear	wh_main_anc_group_uncommon	true	false	spell		false
ovn_spell_desert_sandstorm	true	wh2_dlc09_lord_abilities_sand_storm	ovn_spell_desert_sandstorm_upgraded	wh_type_vortex	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm	wh_main_anc_group_rare	true	false	spell		false
ovn_spell_desert_sandstorm_upgraded	true	wh2_dlc09_lord_abilities_sand_storm		wh_type_vortex	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm	wh_main_anc_group_rare	true	false	spell		false
ovn_spell_bound_desert_sandstorm	false	wh2_dlc09_lord_abilities_sand_storm		wh_type_vortex		wh_main_anc_group_rare	true	false	spell		false
ovn_spell_desert_quicksand	true	ovn_spell_desert_quicksand	ovn_spell_desert_quicksand_upgraded	wh_type_area_of_hexes	spell_previews/heaven/wh_main_spell_heavens_harmonic_convergence	wh_main_anc_group_rare	true	false	spell		false
ovn_spell_desert_quicksand_upgraded	true	ovn_spell_desert_quicksand		wh_type_area_of_hexes	spell_previews/heaven/wh_main_spell_heavens_harmonic_convergence	wh_main_anc_group_rare	true	false	spell		false
ovn_spell_bound_desert_quicksand	false	ovn_spell_desert_quicksand		wh_type_area_of_hexes		wh_main_anc_group_rare	true	false	spell		false
ovn_spell_desert_burning_hands	true	ovn_spell_desert_burning_hands	ovn_spell_desert_burning_hands_upgraded	wh_type_breath	spell_previews/heaven/wh_main_spell_heavens_harmonic_convergence	wh_main_anc_group_common	true	false	spell		false
