member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/ovn_araby_only		
diplomacy_Faction_Araby_&_Negative	ACTOR	ovn_arb_sultanate_of_all_araby
diplomacy_Faction_Araby_&_Positive	ACTOR	ovn_arb_sultanate_of_all_araby
diplomacy_Faction_Araby	ACTOR	ovn_arb_sultanate_of_all_araby
diplomacy_Faction_Scythan_&_Negative	ACTOR	ovn_arb_aswad_scythans
diplomacy_Faction_Scythan_&_Positive	ACTOR	ovn_arb_aswad_scythans
diplomacy_Faction_Scythan	ACTOR	ovn_arb_aswad_scythans
diplomacy_Faction_Scimitar_&_Negative	ACTOR	ovn_arb_golden_fleet
diplomacy_Faction_Scimitar_&_Positive	ACTOR	ovn_arb_golden_fleet
diplomacy_Faction_Scimitar	ACTOR	ovn_arb_golden_fleet
wh2_dlc15_prison_action_interrogate_araby	ACTOR	wh2_main_hef_yvresse
ovn_araby_combi_campaign_jaffar	ACTOR	ovn_arb_sultanate_of_all_araby
ovn_araby_iee_campaign_jaffar	ACTOR	ovn_arb_sultanate_of_all_araby
ovn_araby_tow_campaign_jaffar	ACTOR	ovn_arb_sultanate_of_all_araby
ovn_araby_combi_campaign_minor	ACTOR	ovn_arb_sultanate_of_el_kalabad
ovn_araby_iee_campaign_minor	ACTOR	ovn_arb_sultanate_of_el_kalabad
wh2_dlc11_infamy_factions_ovn_arb_golden_fleet	ACTOR	ovn_arb_golden_fleet
rhox_araby_gm_occupation_group	ACTOR	ovn_arb_golden_fleet
rhox_araby_gm_captive_group	ORIGINATOR	ovn_arb_golden_fleet
rhox_araby_slave_jaffar	ACTOR	ovn_arb_sultanate_of_all_araby
rhox_araby_slave_golden_fleet	ACTOR	ovn_arb_golden_fleet
rhox_araby_slave_kalabad	ACTOR	ovn_arb_sultanate_of_el_kalabad
rhox_araby_slave_captive_jaffar	ORIGINATOR	ovn_arb_sultanate_of_all_araby
rhox_araby_slave_captive_kalabad	ORIGINATOR	ovn_arb_sultanate_of_el_kalabad
rhox_araby_slave_captive_golden_fleet	ORIGINATOR	ovn_arb_golden_fleet
rhox_araby_fatandira_captive_group	ORIGINATOR	ovn_arb_aswad_scythans
wh3_dlc25_captive_option_salvage_guns_araby	ORIGINATOR	wh_main_emp_wissenland
rhox_araby_slave_sultanate_ind	ACTOR	ovn_arb_sultanate_ind
rhox_araby_slave_captive_sultanate_ind	ORIGINATOR	ovn_arb_sultanate_ind
rhox_araby_slave_cult_of_djinns	ACTOR	ovn_arb_cult_of_the_djinns
rhox_araby_slave_captive_cult_of_djinns	ORIGINATOR	ovn_arb_cult_of_the_djinns
