agent_subtype	ancillary
#ancillaries_included_agent_subtypes_tables;0;db/ancillaries_included_agent_subtypes_tables/ovn_araby_only	
arb_magician_life	ovn_anc_mount_arb_magician_life_magic_carpet
arb_magician_life	ovn_anc_mount_arb_magician_life_djinn_vessel
arb_magician_desert	ovn_anc_mount_arb_magician_desert_magic_carpet
arb_magician_desert	ovn_anc_mount_arb_magician_desert_djinn_vessel
arb_magician_fire	ovn_anc_mount_arb_magician_fire_magic_carpet
arb_magician_fire	ovn_anc_mount_arb_magician_fire_djinn_vessel
arb_magician_heavens	ovn_anc_mount_arb_magician_heavens_magic_carpet
arb_magician_heavens	ovn_anc_mount_arb_magician_heavens_djinn_vessel
arb_sultan_jaffar	ovn_araby_Serpent_Staff
arb_sultan_jaffar	Black_Book_Of_Ibn_Naggazar
arb_champion	roy_anc_mount_arb_champion_horse
arb_champion	roy_anc_mount_arb_champion_pegasus
arb_champion	roy_anc_mount_arb_champion_elephant
arb_champion_wazar	roy_anc_mount_arb_champion_horse_wazar
arb_champion_wazar	roy_anc_mount_arb_champion_pegasus_wazar
arb_champion_wazar	roy_anc_mount_arb_champion_elephant_wazar
arb_caravan_master	roy_anc_mount_arb_caravan_master_horse
arb_sheikh	roy_anc_mount_arb_lord_horse
arb_sheikh	ovn_araby_sword
arb_sheikh	ovn_araby_helm
arb_sheikh	roy_anc_mount_arb_lord_pegasus
arb_sheikh	ovn_araby_Mount_Elephant
arb_sheikh	ovn_araby_rattlesnake_staff
arb_sheikh	ovn_araby_talisman
arb_vizier_fire	wh_main_anc_mount_arb_vizier_fire_camel
arb_vizier_fire	wh_main_anc_mount_arb_vizier_fire_carpet
arb_vizier_fire	wh_main_anc_mount_arb_vizier_fire_djinn_carriage
arb_vizier_life	wh_main_anc_mount_arb_vizier_life_camel
arb_vizier_life	wh_main_anc_mount_arb_vizier_life_carpet
arb_vizier_life	wh_main_anc_mount_arb_vizier_life_djinn_carriage
arb_vizier_heavens	wh_main_anc_mount_arb_vizier_heavens_camel
arb_vizier_heavens	wh_main_anc_mount_arb_vizier_heavens_carpet
arb_vizier_heavens	wh_main_anc_mount_arb_vizier_heavens_djinn_carriage
arb_vizier_desert	wh_main_anc_mount_arb_vizier_desert_camel
arb_vizier_desert	wh_main_anc_mount_arb_vizier_desert_carpet
arb_vizier_desert	wh_main_anc_mount_arb_vizier_desert_djinn_carriage
arb_fatandira	arb_fatandira_warhorse
arb_fatandira	arb_fatandira_roc
arb_fatandira	arb_fatandira_blades_demise
arb_fatandira	arb_fatandira_scythan_armour
arb_golden_magus	arb_golden_magus_fire_scimitar
arb_golden_magus	arb_golden_magus_auric_robe
arb_golden_magus	arb_golden_magus_camel_mount
arb_golden_magus	arb_golden_magus_djinnskiff_mount
arb_sheikh_mehmed	arb_sheikh_mehmed_mount_horse
arb_sheikh_mehmed	arb_sheikh_mehmed_mount_pegasus
arb_sheikh_mehmed	arb_sheikh_mehmed_mount_elephant
